Colony,Date,Depth..m.,Latitude,Longitude,Time,Season,Reef.type,Bay.region,Reef,Location,Sample.ID,File.Name,C.CT.mean,D.CT.mean,C.CT.sd,D.CT.sd,propC,propD,Dom,Mix
332,6/8/16,2.5,21.47664699,-157.825904,10:44,summer,patch,northern,R42,NE,6,20160811_Symcap_16_data.txt,25.95428,NA,0.044901281,NA,1,0,C,C
333,6/8/16,3,21.47663098,-157.825909,10:45,summer,patch,northern,R42,NE,7,20160705_Symcap_3_data.txt,29.56813,NA,0.178049488,NA,1,0,C,C
335,6/8/16,2.5,21.47656401,-157.825839,10:47,summer,patch,northern,R42,NE,8,20160627_Symcap_1_data.txt,28.94233,37.06745,0.986272538,0.144461915,0.962094219,0.037905781,C,CD
336,6/8/16,1.2,21.47657599,-157.825774,10:50,summer,patch,northern,R42,NE,9,20160811_Symcap_16_data.txt,22.89948,33.3206,0.258023264,0.935502272,0.992041107,0.007958893,C,CD
337,6/8/16,3.3,21.476506,-157.8258,10:52,summer,patch,northern,R42,NE,10,20160627_Symcap_1_data.txt,29.72613,NA,0.182009285,NA,1,0,C,C
338,6/8/16,2.5,21.47652897,-157.82575,10:53,summer,patch,northern,R42,NE,11,20160705_Symcap_3_data.txt,NA,36.2443,NA,0.906510893,0,1,D,D
340,6/8/16,2,21.47654599,-157.825717,10:59,summer,patch,northern,R42,NE,12,20160811_Symcap_16_data.txt,27.24833,25.01185,0.125582164,0.532380696,0.018926115,0.981073885,D,DC
342,6/8/16,1,21.47673399,-157.825369,11:14,summer,patch,northern,R42,NE,13,20160811_Symcap_16_data.txt,28.74448,26.55025,0.063851742,0.211495638,0.019477615,0.980522385,D,DC
348,6/8/16,0.5,21.47688302,-157.825307,11:21,summer,patch,northern,R42,NE,14,20162906_Symcap_2_data.txt,33.65828,NA,0.17104913,NA,1,0,C,C
350,6/8/16,0.2,21.476807,-157.825267,11:24,summer,patch,northern,R42,NE,15,20162906_Symcap_2_data.txt,34.90478,32.5557,0.762473242,0.902692517,0.017530046,0.982469954,D,DC
721,7/11/16,2.4384,21.47934,-157.83598,10:22,summer,fringe,northern,F1-R46,NW,1,20160727_Symcap_11_data.txt,23.99383,NA,0.497520331,NA,1,0,C,C
722,7/11/16,4.8768,21.47934,-157.83598,10:23,summer,fringe,northern,F1-R46,NW,2,20160727_Symcap_11_data.txt,23.74593,NA,0.055437172,NA,1,0,C,C
723,7/11/16,4.2672,21.47933,-157.83598,10:24,summer,fringe,northern,F1-R46,NW,3,20160727_Symcap_11_data.txt,22.98338,NA,0.120137442,NA,1,0,C,C
