,Season,Location,Reef.type,Bay.region,Sample.ID,Sample.Name,File.Name,C.CT.mean,D.CT.mean,C.CT.sd,D.CT.sd,C.reps,D.reps,C.D,fail,propC,propD,Mix,Dom
3,Winter,HIMB,patch,southern,1,HIMB_01,Wall_PanKbay_plate1.txt,30.10743,28.88105,0.201101169,0.500136626,2,2,0.0388535,FALSE,0.037400365,0.962599635,DC,D
4,Winter,HIMB,patch,southern,2,HIMB_02,Wall_PanKbay_plate1.txt,28.77248,27.5721,0.318127341,0.414930259,2,2,0.039560059,FALSE,0.038054616,0.961945384,DC,D
5,Winter,HIMB,patch,southern,3,HIMB_03,Wall_PanKbay_plate1.txt,29.63933,26.9798,0.61942554,0.621971125,2,2,0.014388284,FALSE,0.014184198,0.985815802,DC,D
6,Winter,HIMB,patch,southern,5,HIMB_05,Wall_PanKbay_plate1.txt,24.13198,25.0903,0.730087752,0.84145707,2,2,0.176640539,FALSE,0.150122771,0.849877229,DC,D
7,Winter,HIMB,patch,southern,6,HIMB_06,Wall_PanKbay_plate1.txt,23.10888,28.04455,0.077003928,0.214606908,2,2,2.782223622,FALSE,0.735605268,0.264394732,CD,C
8,Winter,HIMB,patch,southern,7,HIMB_07,Wall_PanKbay_plate1.txt,23.24803,0,0.770463549,NA,2,0,1,FALSE,1,NA,C,C
9,Winter,HIMB,patch,southern,8,HIMB_08,Wall_PanKbay_plate1.txt,24.11918,36.7941,0.279236468,NA,2,1,594.4816141,FALSE,0.998320687,0.001679313,CD,C
10,Winter,HIMB,patch,southern,9,HIMB_09,Wall_PanKbay_plate1.txt,29.43893,28.0438,0.82066813,0.756179992,2,2,0.034564584,FALSE,0.033409789,0.966590211,DC,D
11,Winter,HIMB,patch,southern,10,HIMB_10,Wall_PanKbay_plate1.txt,24.29103,0,0.688014898,NA,2,0,1,FALSE,1,NA,C,C
13,Winter,F8-R10,fringe,southern,1,R10_01,Wall_PanKbay_plate1.txt,32.96323,31.1981,2.411375545,2.296824247,2,2,0.02674547,FALSE,0.026048783,0.973951217,DC,D
14,Winter,F8-R10,fringe,southern,2,R10_02,Wall_PanKbay_plate1.txt,23.05838,0,2.261115354,NA,2,0,1,FALSE,1,NA,C,C
16,Winter,F8-R10,fringe,southern,6,R10_06,Wall_PanKbay_plate1.txt,28.16713,0,0.493843376,NA,2,0,1,FALSE,1,NA,C,C
17,Winter,F8-R10,fringe,southern,7,R10_07,Wall_PanKbay_plate1.txt,26.10948,0,0.487691547,NA,2,0,1,FALSE,1,NA,C,C
18,Winter,F8-R10,fringe,southern,8,R10_08,Wall_PanKbay_plate1.txt,25.30553,30.6701,0.116672619,0.233062395,2,2,3.745448231,FALSE,0.78927175,0.21072825,CD,C
19,Winter,F8-R10,fringe,southern,9,R10_09,Wall_PanKbay_plate1.txt,28.24118,28.65235,0.092701699,0.275983777,2,2,0.120887617,FALSE,0.1078499,0.8921501,DC,D
20,Winter,F8-R10,fringe,southern,10,R10_10,Wall_PanKbay_plate1.txt,25.83068,0,0.42546615,NA,2,0,1,FALSE,1,NA,C,C
21,Winter,F8-R10,fringe,southern,11,R10_11,Wall_PanKbay_plate1.txt,26.48243,33.72785,1.188363656,1.568009287,2,2,13.79418563,FALSE,0.932405877,0.067594123,CD,C
22,Winter,F8-R10,fringe,southern,12,R10_12,Wall_PanKbay_plate1.txt,26.49283,0,0.383251875,NA,2,0,1,FALSE,1,NA,C,C
23,Winter,F8-R10,fringe,southern,15,R10_15,Wall_PanKbay_plate1.txt,28.72193,32.95745,0.287651039,0.732209072,2,2,1.712481475,FALSE,0.631333888,0.368666112,CD,C
