Date,Location,SPM..g.l
8/10/16,F1-46,0.001726667
8/10/16,F1-46,0.001496667
8/10/16,F1-46,0.001506667
8/10/16,R42,0.000946667
8/10/16,R42,0.000696667
8/10/16,R42,0.000896667
8/10/16,F8-10,0.004036667
8/10/16,F8-10,0.001666667
8/10/16,F8-10,0.002726667
8/10/16,HIMB,0.002486667
8/10/16,HIMB,0.003436667
8/10/16,HIMB,0.002266667
12/20/16,F1-46,0.00159
12/20/16,F1-46,0.00182
12/20/16,F1-46,0.00173
12/20/16,R42,0.00063
12/20/16,R42,0.00062
12/20/16,R42,0.00099
12/20/16,F8-10,0.00156
12/20/16,F8-10,0.00176
12/20/16,F8-10,0.00196
12/20/16,HIMB,0.00179
12/20/16,HIMB,0.00183
12/20/16,HIMB,0.00179
