Date,Reef,Location,SPM..g.l
8/10/16,F1-46,NW,0.001726667
8/10/16,F1-46,NW,0.001496667
8/10/16,F1-46,NW,0.001506667
8/10/16,R42,NE,0.000946667
8/10/16,R42,NE,0.000696667
8/10/16,R42,NE,0.000896667
8/10/16,F8-10,SW,0.004036667
8/10/16,F8-10,SW,0.001666667
8/10/16,F8-10,SW,0.002726667
8/10/16,HIMB,SE,0.002486667
8/10/16,HIMB,SE,0.003436667
8/10/16,HIMB,SE,0.002266667
12/20/16,F1-46,NW,0.00159
12/20/16,F1-46,NW,0.00182
12/20/16,F1-46,NW,0.00173
12/20/16,R42,NE,0.00063
12/20/16,R42,NE,0.00062
12/20/16,R42,NE,0.00099
12/20/16,F8-10,SW,0.00156
12/20/16,F8-10,SW,0.00176
12/20/16,F8-10,SW,0.00196
12/20/16,HIMB,SE,0.00179
12/20/16,HIMB,SE,0.00183
12/20/16,HIMB,SE,0.00179
