"","Date","Rf44.shall.DLI","Rf44.mid.DLI","Rf42.shall.DLI","Rf42.mid.DLI","Rf42.deep.DLI","HIMB.shall.DLI","HIMB.mid.DLI","HIMB.deep.DLI"
"2",2016-10-08,28.803851505,18.715396626,25.382444706,18.715396626,5.61098934,29.177320896,15.342824277,5.080987899
"3",2016-10-09,31.960705392,20.542457682,25.226124696,20.542457682,4.99007358,27.480111552,15.043942674,5.716830798
"4",2016-10-10,15.28823142,10.545428016,13.229342145,10.545428016,1.29042018,17.716941504,10.431911376,2.58099156
"5",2016-10-11,16.744364505,10.030166928,14.410877805,10.030166928,2.17939248,19.176772032,10.548781335,3.092697936
"6",2016-10-12,36.917785737,13.329424746,18.944970147,13.329424746,2.06128746,24.811848576,13.063956345,4.057668729
"7",2016-10-13,33.667555878,14.311718982,20.535509331,14.311718982,1.96647588,31.447211904,15.326394453,4.501013454
"8",2016-10-14,17.176840362,6.375215088,12.855256857,6.375215088,1.42781508,21.249760896,8.756903655,2.900667672
"9",2016-10-15,38.572702245,8.011697994,21.091291254,8.011697994,1.78049232,22.605132096,10.550770884,3.386826162
"10",2016-10-16,27.540403704,10.560414978,17.934100749,10.560414978,1.09479168,23.894096256,11.630133306,4.110261813
"11",2016-10-17,20.992568652,13.814919342,18.440888868,13.814919342,3.12113898,21.297651264,11.173628079,3.372086997
