"","timestamp","Rf44.shallow","Rf44.mid","Rf44.deep","Rf10.shallow","Rf10.mid","Rf10.deep"
"1",2016-11-08 13:00:00,1067.58663,666.31768,110.33091,290.697,177.8272,105.95562
"2",2016-11-08 13:15:00,974.38286,612.32774,110.63586,250.2522,136.2496,60.8283
"3",2016-11-08 13:30:00,1307.22174,818.89544,133.75107,409.044,227.9936,105.27975
"4",2016-11-08 13:45:00,1006.65994,608.00624,100.87746,358.2582,201.60256,90.67056
"5",2016-11-08 14:00:00,1305.66711,817.22446,138.56928,347.5725,193.59936,82.50813
"6",2016-11-08 14:15:00,1013.54473,637.68054,97.46202,259.4442,139.99744,62.64795
"7",2016-11-08 14:30:00,935.81323,582.76868,72.88305,235.4301,128.79296,58.43676
"8",2016-11-08 14:45:00,676.85629,416.93832,50.92665,240.0261,131.44768,59.52855
"9",2016-11-08 15:00:00,382.80913,235.9539,31.95876,628.1583,342.49792,156.43791
"10",2016-11-08 15:15:00,197.95622,117.2567,17.99205,231.4086,127.6608,50.79423
"11",2016-11-08 15:30:00,144.50656,81.99326,15.18651,181.0824,99.31776,38.57658
"12",2016-11-08 15:45:00,171.52751,100.20118,17.38215,127.0794,66.48512,24.12336
"13",2016-11-08 16:00:00,178.56036,104.5803,21.16353,109.2699,55.0464,21.78381
"14",2016-11-08 16:15:00,218.3885,110.11182,18.54096,105.0186,53.4848,20.58804
"15",2016-11-08 16:30:00,124.00025,61.30768,8.66058,110.0742,55.08544,21.41988
"16",2016-11-08 16:45:00,228.90076,120.82914,17.0772,110.5338,57.15456,21.57585
"17",2016-11-08 17:00:00,171.7496,91.27008,11.34414,82.8429,42.28032,15.54501
"18",2016-11-08 17:15:00,138.13998,72.71644,9.57543,56.5308,28.14784,10.86591
"19",2016-11-08 17:30:00,51.96906,25.3528,4.2693,36.3084,17.80224,7.2786
"20",2016-11-08 17:45:00,15.84242,7.14488,1.15881,21.1416,10.26752,4.00323
"21",2016-11-08 18:00:00,3.77553,1.26764,0.18297,8.043,3.66976,1.50771
"22",2016-11-08 18:15:00,0.44418,0,0,0.6894,0.15616,0.05199
"23",2016-11-08 18:30:00,0,0,0,0,0,0
"24",2016-11-08 18:45:00,0,0,0,0,0,0
"25",2016-11-08 19:00:00,0,0,0,0,0,0
"26",2016-11-08 19:15:00,0,0,0,0,0,0
"27",2016-11-08 19:30:00,0,0,0,0,0,0
"28",2016-11-08 19:45:00,0,0,0,0,0,0
"29",2016-11-08 20:00:00,0,0,0,0,0,0
"30",2016-11-08 20:15:00,0,0,0,0,0,0
"31",2016-11-08 20:30:00,0,0,0,0,0,0
"32",2016-11-08 20:45:00,0,0,0,0,0,0
"33",2016-11-08 21:00:00,0,0,0,0,0,0
"34",2016-11-08 21:15:00,0,0,0,0,0,0
"35",2016-11-08 21:30:00,0,0,0,0,0,0
"36",2016-11-08 21:45:00,0,0,0,0,0,0
"37",2016-11-08 22:00:00,0,0,0,0,0,0
"38",2016-11-08 22:15:00,0,0,0,0,0,0
"39",2016-11-08 22:30:00,0,0,0,0,0,0
"40",2016-11-08 22:45:00,0,0,0,0,0,0
"41",2016-11-08 23:00:00,0,0,0,0,0,0
"42",2016-11-08 23:15:00,0,0,0,0,0,0
"43",2016-11-08 23:30:00,0,0,0,0,0,0
"44",2016-11-08 23:45:00,0,0,0,0,0,0
"45",2016-11-09 00:00:00,0,0,0,0,0,0
"46",2016-11-09 00:15:00,0,0,0,0,0,0
"47",2016-11-09 00:30:00,0,0,0,0,0,0
"48",2016-11-09 00:45:00,0,0,0,0,0,0
"49",2016-11-09 01:00:00,0,0,0,0,0,0
"50",2016-11-09 01:15:00,0,0,0,0,0,0
"51",2016-11-09 01:30:00,0,0,0,0,0,0
"52",2016-11-09 01:45:00,0,0,0,0,0,0
"53",2016-11-09 02:00:00,0,0,0,0,0,0
"54",2016-11-09 02:15:00,0,0,0,0,0,0
"55",2016-11-09 02:30:00,0,0,0,0,0,0
"56",2016-11-09 02:45:00,0,0,0,0,0,0
"57",2016-11-09 03:00:00,0,0,0,0,0,0
"58",2016-11-09 03:15:00,0,0,0,0,0,0
"59",2016-11-09 03:30:00,0,0,0,0,0,0
"60",2016-11-09 03:45:00,0,0,0,0,0,0
"61",2016-11-09 04:00:00,0,0,0,0,0,0
"62",2016-11-09 04:15:00,0,0,0,0,0,0
"63",2016-11-09 04:30:00,0,0,0,0,0,0
"64",2016-11-09 04:45:00,0,0,0,0,0,0
"65",2016-11-09 05:00:00,0,0,0,0,0,0
"66",2016-11-09 05:15:00,0,0,0,0,0,0
"67",2016-11-09 05:30:00,0,0,0,0,0,0
"68",2016-11-09 05:45:00,0,0,0,0,0,0
"69",2016-11-09 06:00:00,0,0,0,0,0,0
"70",2016-11-09 06:15:00,0,0,0,0,0,0
"71",2016-11-09 06:30:00,0.07403,0,0,0,0,0
"72",2016-11-09 06:45:00,3.18329,1.26764,0.18297,3.447,1.09312,0.72786
"73",2016-11-09 07:00:00,18.95168,9.91064,1.64673,20.3373,9.83808,5.199
"74",2016-11-09 07:15:00,43.52964,22.93276,3.72039,51.2454,24.71232,12.78954
"75",2016-11-09 07:30:00,97.7196,38.3173,9.20949,109.155,51.25952,25.995
"76",2016-11-09 07:45:00,156.05524,53.35612,12.07602,176.6013,82.64768,41.38404
"77",2016-11-09 08:00:00,221.3497,70.23878,16.52829,254.5035,118.25216,61.08825
"78",2016-11-09 08:15:00,289.90148,96.8016,22.93224,334.9335,158.5024,81.15639
"79",2016-11-09 08:30:00,367.70701,159.8955,31.59282,422.2575,203.16416,105.64368
"80",2016-11-09 08:45:00,444.40209,251.2232,40.37538,511.9944,248.13824,129.55908
"81",2016-11-09 09:00:00,521.98553,327.05112,52.20744,600.5823,295.88416,152.95458
"82",2016-11-09 09:15:00,595.27523,385.7659,60.01416,688.9404,355.30304,183.10878
"83",2016-11-09 09:30:00,671.82225,458.9433,71.48028,780.2859,406.6016,222.15327
"84",2016-11-09 09:45:00,751.47853,532.06308,85.81293,850.8345,443.2992,239.93385
"85",2016-11-09 10:00:00,830.83869,597.8075,92.94876,927.0132,490.10816,262.28955
"86",2016-11-09 10:15:00,897.02151,657.84754,92.52183,991.8168,531.76384,295.71912
"87",2016-11-09 10:30:00,967.94225,715.17944,95.02242,1065.3528,571.85792,326.44521
"88",2016-11-09 10:45:00,1029.7573,761.79402,91.485,1113.6108,606.25216,353.22006
"89",2016-11-09 11:00:00,1082.98487,810.65578,111.24576,1175.1972,636.58624,371.15661
"90",2016-11-09 11:15:00,1130.21601,840.9639,159.06192,1215.4122,667.74016,408.27747
"91",2016-11-09 11:30:00,1186.40478,882.21982,192.05751,1065.6975,605.39328,439.15953
"92",2016-11-09 11:45:00,1247.62759,917.13754,232.61586,1165.5456,571.85792,421.22298
"93",2016-11-09 12:00:00,1302.70591,966.17216,243.22812,993.0807,532.3104,332.58003
"94",2016-11-09 12:15:00,1329.20865,986.91536,241.88634,1337.5509,734.65472,452.10504
"95",2016-11-09 12:30:00,1373.40456,991.00638,274.08906,802.1169,442.5184,281.99376
"96",2016-11-09 12:45:00,849.1241,609.6196,176.07813,1112.5767,618.43264,400.94688
"97",2016-11-09 13:00:00,1159.23577,837.39146,211.14738,1184.0445,659.69792,427.56576
"98",2016-11-09 13:15:00,782.20098,548.77288,116.00298,578.8662,320.67456,189.7635
"99",2016-11-09 13:30:00,1123.62734,784.15058,224.99211,604.6038,332.73792,202.44906
"100",2016-11-09 13:45:00,814.18194,532.92738,162.90429,596.7906,328.79488,194.18265
"101",2016-11-09 14:00:00,506.95744,310.2837,94.90044,398.4732,219.52192,122.80038
"102",2016-11-09 14:15:00,524.94673,322.84486,102.89013,581.8536,323.32928,190.02345
"103",2016-11-09 14:30:00,535.82914,325.43776,106.67151,402.2649,224.51904,121.55262
"104",2016-11-09 14:45:00,417.97338,247.82362,78.0672,419.7297,233.92768,128.15535
"105",2016-11-09 15:00:00,355.26997,205.81864,61.29495,659.4111,362.40832,215.91447
"106",2016-11-09 15:15:00,297.23045,171.7076,44.46171,360.5562,201.56352,112.8183
"107",2016-11-09 15:30:00,293.82507,168.30802,35.06925,319.8816,176.14848,94.30986
"108",2016-11-09 15:45:00,280.42564,160.41408,21.9564,264.27,143.6672,72.16212
"109",2016-11-09 16:00:00,242.74437,133.79364,18.297,248.4138,133.55584,64.20765
"110",2016-11-09 16:15:00,230.30733,126.13018,16.89423,235.7748,126.41152,65.14347
"111",2016-11-09 16:30:00,168.93646,92.65296,14.75958,132.0201,71.20896,34.98927
"112",2016-11-09 16:45:00,146.5794,80.32228,12.86889,96.1713,50.9472,24.48729
"113",2016-11-09 17:00:00,117.92979,63.0939,9.57543,89.3922,47.86304,23.3955
"114",2016-11-09 17:15:00,52.48727,25.69852,4.2693,61.7013,33.02784,16.06491
"115",2016-11-09 17:30:00,32.5732,16.1336,2.68356,35.5041,18.97344,9.30621
"116",2016-11-09 17:45:00,21.02452,10.71732,1.76871,20.3373,10.69696,5.51094
"117",2016-11-09 18:00:00,6.73673,3.05386,0.48792,8.7324,4.41152,2.18358
"118",2016-11-09 18:15:00,0.88836,0.17286,0,1.0341,0.27328,0.15597
"119",2016-11-09 18:30:00,0,0,0,0,0,0
"120",2016-11-09 18:45:00,0,0,0,0,0,0
"121",2016-11-09 19:00:00,0,0,0,0,0,0
"122",2016-11-09 19:15:00,0,0,0,0,0,0
"123",2016-11-09 19:30:00,0,0,0,0,0,0
"124",2016-11-09 19:45:00,0,0,0,0,0,0
"125",2016-11-09 20:00:00,0,0,0,0,0,0
"126",2016-11-09 20:15:00,0,0,0,0,0,0
"127",2016-11-09 20:30:00,0,0,0,0,0,0
"128",2016-11-09 20:45:00,0,0,0,0,0,0
"129",2016-11-09 21:00:00,0,0,0,0,0,0
"130",2016-11-09 21:15:00,0,0,0,0,0,0
"131",2016-11-09 21:30:00,0,0,0,0,0,0
"132",2016-11-09 21:45:00,0,0,0,0,0,0
"133",2016-11-09 22:00:00,0,0,0,0,0,0
"134",2016-11-09 22:15:00,0,0,0,0,0,0
"135",2016-11-09 22:30:00,0,0,0,0,0,0
"136",2016-11-09 22:45:00,0,0,0,0,0,0
"137",2016-11-09 23:00:00,0,0,0,0,0,0
"138",2016-11-09 23:15:00,0,0,0,0,0,0
"139",2016-11-09 23:30:00,0,0,0,0,0,0
"140",2016-11-09 23:45:00,0,0,0,0,0,0
"141",2016-11-10 00:00:00,0,0,0,0,0,0
"142",2016-11-10 00:15:00,0,0,0,0,0,0
"143",2016-11-10 00:30:00,0,0,0,0,0,0
"144",2016-11-10 00:45:00,0,0,0,0,0,0
"145",2016-11-10 01:00:00,0,0,0,0,0,0
"146",2016-11-10 01:15:00,0,0,0,0,0,0
"147",2016-11-10 01:30:00,0,0,0,0,0,0
"148",2016-11-10 01:45:00,0,0,0,0,0,0
"149",2016-11-10 02:00:00,0,0,0,0,0,0
"150",2016-11-10 02:15:00,0,0,0,0,0,0
"151",2016-11-10 02:30:00,0,0,0,0,0,0
"152",2016-11-10 02:45:00,0,0,0,0,0,0
"153",2016-11-10 03:00:00,0,0,0,0,0,0
"154",2016-11-10 03:15:00,0,0,0,0,0,0
"155",2016-11-10 03:30:00,0,0,0,0,0,0
"156",2016-11-10 03:45:00,0,0,0,0,0,0
"157",2016-11-10 04:00:00,0,0,0,0,0,0
"158",2016-11-10 04:15:00,0,0,0,0,0,0
"159",2016-11-10 04:30:00,0,0,0,0,0,0
"160",2016-11-10 04:45:00,0,0,0,0,0,0
"161",2016-11-10 05:00:00,0,0,0,0,0,0
"162",2016-11-10 05:15:00,0,0,0,0,0,0
"163",2016-11-10 05:30:00,0,0,0,0,0,0
"164",2016-11-10 05:45:00,0,0,0,0,0,0
"165",2016-11-10 06:00:00,0,0,0,0,0,0
"166",2016-11-10 06:15:00,0,0,0,0,0,0
"167",2016-11-10 06:30:00,0.07403,0,0,0,0,0
"168",2016-11-10 06:45:00,3.55344,1.32526,0.18297,3.7917,1.28832,0.88383
"169",2016-11-10 07:00:00,18.65556,9.33444,1.52475,20.3373,10.18944,5.7189
"170",2016-11-10 07:15:00,46.86099,21.49226,2.92752,53.4285,26.97664,15.02511
"171",2016-11-10 07:30:00,96.46109,35.09058,6.40395,102.0312,50.3616,27.81465
"172",2016-11-10 07:45:00,152.13165,48.86176,5.36712,165.8007,81.04704,44.86737
"173",2016-11-10 08:00:00,220.31328,68.51018,14.39364,207.969,101.93344,56.72109
"174",2016-11-10 08:15:00,296.63821,99.16402,24.27402,339.8742,165.7248,91.5024
"175",2016-11-10 08:30:00,370.00194,149.35104,28.23837,425.4747,208.864,117.34143
"176",2016-11-10 08:45:00,446.47493,230.82572,32.38569,509.5815,253.44768,144.42822
"177",2016-11-10 09:00:00,527.31569,324.74632,38.66766,603.6846,303.80928,173.95854
"178",2016-11-10 09:15:00,536.56944,347.90956,35.43519,677.5653,345.23072,202.60503
