"","Date","month","Rf44.mid.DLI","Rf42.mid.DLI","HIMB.mid.DLI","Rf10.mid.DLI"
"1",2016-06-10,"June",22.194912852,25.963213023,22.929102972,9.9869474556
"2",2016-06-11,"June",20.718930456,22.638537018,19.330586442,11.114996877
"3",2016-06-12,"June",19.22531634,21.737778138,22.905292563,12.015248724
"4",2016-06-13,"June",17.877941784,21.286773171,15.148618623,7.622900469
"5",2016-06-14,"June",14.56406001,17.6756058,7.897611024,8.52741405
"6",2016-06-15,"June",12.342048426,19.477749087,10.618158834,7.920669402
"7",2016-06-16,"June",14.434570584,20.91136761,16.934014224,10.230608151
"8",2016-06-17,"June",9.097915662,14.041830096,9.222586479,6.947257788
"9",2016-06-18,"June",17.003927052,23.547606471,12.362993307,9.616129245
"10",2016-06-19,"June",14.524284924,21.717582552,16.697386251,11.121073794
"11",2016-06-20,"June",12.560733612,20.440345779,17.419143285,9.817298874
"12",2016-06-21,"June",9.857324214,18.4709187,17.866663452,8.258372361
"13",2016-06-22,"June",15.33985569,22.989993831,27.961378362,15.10390098
"14",2016-06-23,"June",11.369710926,20.612633787,21.948704568,13.630366989
"15",2016-06-24,"June",6.99201414,18.155921175,21.793712283,14.068773144
"16",2016-06-25,"June",11.27496636,18.413459577,20.126341863,11.643609735
"17",2016-06-26,"June",7.01353521,15.70340853,18.127679445,12.82860855
"18",2016-06-27,"June",13.414575582,20.007302373,23.879593962,16.415646921
"19",2016-06-28,"June",22.46255199,22.673209086,14.301263286,14.182261542
"20",2016-06-29,"June",20.835455382,22.526388963,19.447713117,10.922508558
"21",2016-06-30,"June",17.316267786,18.92755341,13.177488996,10.649047293
"22",2016-07-01,"July",12.972589848,14.602391649,13.766973111,10.302426261
"23",2016-07-02,"July",13.118362686,18.467076177,23.442085719,16.306104573
"24",2016-07-03,"July",7.656522552,12.046577688,13.369255848,10.163919906
"25",2016-07-04,"July",7.284648834,14.150493072,17.703327897,8.862907221
"26",2016-07-05,"July",4.48001262,9.305071569,11.346526305,4.760199036
"27",2016-07-06,"July",9.787782636,18.468863397,21.32603991,5.145096753
"28",2016-07-07,"July",8.389950246,24.919119099,20.599084377,10.228635126
"29",2016-07-08,"July",5.39452845,22.285382346,25.366300497,9.896930163
"30",2016-07-09,"July",7.614776862,26.441830539,22.084186437,9.423088479
"31",2016-07-10,"July",5.577483474,25.286571531,17.278013664,11.314982691
"32",2016-07-11,"July",11.896536348,27.333027792,13.116583125,11.253818916
"33",2016-07-12,"July",9.370429452,24.452386596,17.417795526,11.105131752
"34",2016-07-13,"July",7.147951146,18.299613663,19.28707308,9.484410096
"35",2016-07-14,"July",10.474330698,24.804111492,19.358825202,12.371024592
"36",2016-07-15,"July",9.046265094,22.705647129,14.777022213,9.238176576
