Location,Reef,Depth.zone,DLI.mean,DLI.se,n,percent.shall,attenuation (percent)
NW,Rf44,shallow,19.2151113,0.65780472,172,1,0
NW,Rf44,mid,10.21240559,0.349608623,172,0.531477827,0.468522173
NW,Rf44,deep,1.72092914,0.058913805,172,0.089561237,0.910438763
NE,Rf42,shallow,17.25899771,0.647036123,163,1,0
NE,Rf42,mid,12.36577412,0.46359022,163,0.716482749,0.283517251
NE,Rf42,deep,2.563956594,0.096122183,163,0.148557676,0.851442324
SW,Rf10,shallow,9.796287689,0.482930539,202,1,0
SW,Rf10,mid,6.157775081,0.303561689,202,0.628582508,0.371417492
SW,Rf10,deep,2.835210479,0.139768223,202,0.289416825,0.710583175
SE,HIMB,shallow,21.28352037,0.636767394,198,1,0
SE,HIMB,mid,12.03986144,0.360212553,198,0.56568938,0.43431062
SE,HIMB,deep,4.132877613,0.123648798,198,0.19418205,0.80581795
