Site Name ,TANK
Site Number ,4
Logger ,Integrating Light Sensor
Logger Serial Number ,2486


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,04/08/2016 , 16:15:00,2047,402.9
2,04/08/2016 , 16:30:00,907,178.5
3,04/08/2016 , 16:45:00,967,190.3
4,04/08/2016 , 17:00:00,893,175.8
5,04/08/2016 , 17:15:00,714,140.5
6,04/08/2016 , 17:30:00,589,115.9
7,04/08/2016 , 17:45:00,582,114.6
8,04/08/2016 , 18:00:00,512,100.8
9,04/08/2016 , 18:15:00,414,81.5
10,04/08/2016 , 18:30:00,253,49.8
11,04/08/2016 , 18:45:00,128,25.2
12,04/08/2016 , 19:00:00,70,13.8
13,04/08/2016 , 19:15:00,25,4.9
14,04/08/2016 , 19:30:00,1,0.2
15,04/08/2016 , 19:45:00,0,0
16,04/08/2016 , 20:00:00,0,0
17,04/08/2016 , 20:15:00,0,0
18,04/08/2016 , 20:30:00,0,0
19,04/08/2016 , 20:45:00,0,0
20,04/08/2016 , 21:00:00,0,0
21,04/08/2016 , 21:15:00,0,0
22,04/08/2016 , 21:30:00,0,0
23,04/08/2016 , 21:45:00,0,0
24,04/08/2016 , 22:00:00,0,0
25,04/08/2016 , 22:15:00,0,0
26,04/08/2016 , 22:30:00,0,0
27,04/08/2016 , 22:45:00,0,0
28,04/08/2016 , 23:00:00,0,0
29,04/08/2016 , 23:15:00,0,0
30,04/08/2016 , 23:30:00,0,0
31,04/08/2016 , 23:45:00,0,0
32,04/08/2016 , 24:00:00,0,0
33,05/08/2016 , 00:15:00,0,0
34,05/08/2016 , 00:30:00,0,0
35,05/08/2016 , 00:45:00,0,0
36,05/08/2016 , 01:00:00,0,0
37,05/08/2016 , 01:15:00,0,0
38,05/08/2016 , 01:30:00,0,0
39,05/08/2016 , 01:45:00,0,0
40,05/08/2016 , 02:00:00,0,0
41,05/08/2016 , 02:15:00,0,0
42,05/08/2016 , 02:30:00,0,0
43,05/08/2016 , 02:45:00,0,0
44,05/08/2016 , 03:00:00,0,0
45,05/08/2016 , 03:15:00,0,0
46,05/08/2016 , 03:30:00,0,0
47,05/08/2016 , 03:45:00,0,0
48,05/08/2016 , 04:00:00,0,0
49,05/08/2016 , 04:15:00,0,0
50,05/08/2016 , 04:30:00,0,0
51,05/08/2016 , 04:45:00,0,0
52,05/08/2016 , 05:00:00,0,0
53,05/08/2016 , 05:15:00,0,0
54,05/08/2016 , 05:30:00,0,0
55,05/08/2016 , 05:45:00,0,0
56,05/08/2016 , 06:00:00,0,0
57,05/08/2016 , 06:15:00,15,3
58,05/08/2016 , 06:30:00,67,13.2
59,05/08/2016 , 06:45:00,168,33.1
60,05/08/2016 , 07:00:00,332,65.4
61,05/08/2016 , 07:15:00,1613,317.5
62,05/08/2016 , 07:30:00,2265,445.8
63,05/08/2016 , 07:45:00,2446,481.5
64,05/08/2016 , 08:00:00,3229,635.6
65,05/08/2016 , 08:15:00,4445,874.9
66,05/08/2016 , 08:30:00,5449,1072.6
67,05/08/2016 , 08:45:00,6044,1189.7
68,05/08/2016 , 09:00:00,4230,832.6
69,05/08/2016 , 09:15:00,7730,1521.6
70,05/08/2016 , 09:30:00,9118,1794.8
71,05/08/2016 , 09:45:00,9858,1940.4
72,05/08/2016 , 10:00:00,10850,2135.7
73,05/08/2016 , 10:15:00,7701,1515.8
74,05/08/2016 , 10:30:00,3231,636
75,05/08/2016 , 10:45:00,4186,824
76,05/08/2016 , 11:00:00,6585,1296.2
77,05/08/2016 , 11:15:00,6099,1200.5
78,05/08/2016 , 11:30:00,9085,1788.3
79,05/08/2016 , 11:45:00,10891,2143.8
80,05/08/2016 , 12:00:00,10500,2066.8
81,05/08/2016 , 12:15:00,9077,1786.7
82,05/08/2016 , 12:30:00,5974,1175.9
83,05/08/2016 , 12:45:00,6438,1267.2
84,05/08/2016 , 13:00:00,7336,1444
85,05/08/2016 , 13:15:00,5841,1149.7
86,05/08/2016 , 13:30:00,8443,1661.9
87,05/08/2016 , 13:45:00,8045,1583.6
88,05/08/2016 , 14:00:00,7658,1507.4
89,05/08/2016 , 14:15:00,6488,1277.1
90,05/08/2016 , 14:30:00,6047,1190.3
91,05/08/2016 , 14:45:00,5506,1083.8
92,05/08/2016 , 15:00:00,4724,929.9
93,05/08/2016 , 15:15:00,4438,873.6
94,05/08/2016 , 15:30:00,3866,761
95,05/08/2016 , 15:45:00,3341,657.6
96,05/08/2016 , 16:00:00,2624,516.5
97,05/08/2016 , 16:15:00,2457,483.6
98,05/08/2016 , 16:30:00,1309,257.7
99,05/08/2016 , 16:45:00,1542,303.5
100,05/08/2016 , 17:00:00,1193,234.8
101,05/08/2016 , 17:15:00,767,151
102,05/08/2016 , 17:30:00,776,152.7
103,05/08/2016 , 17:45:00,652,128.3
104,05/08/2016 , 18:00:00,477,93.9
