ï»¿Site Name ,TANK,,,
Site Number ,4,,,
Logger ,Integrating Light Sensor,,,
Logger Serial Number ,2486,,,
,,,,
,,,,
Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,
,,,,
1,28/05/2016 , 15:15:00,0,0
2,28/05/2016 , 15:30:00,0,0
3,28/05/2016 , 15:45:00,0,0
4,28/05/2016 , 16:00:00,0,0
5,28/05/2016 , 16:15:00,0,0
6,28/05/2016 , 16:30:00,0,0
7,28/05/2016 , 16:45:00,0,0
8,28/05/2016 , 17:00:00,0,0
9,28/05/2016 , 17:15:00,0,0
10,28/05/2016 , 17:30:00,0,0
11,28/05/2016 , 17:45:00,0,0
12,28/05/2016 , 18:00:00,0,0
13,28/05/2016 , 18:15:00,0,0
14,28/05/2016 , 18:30:00,0,0
15,28/05/2016 , 18:45:00,0,0
16,28/05/2016 , 19:00:00,0,0
17,28/05/2016 , 19:15:00,0,0
18,28/05/2016 , 19:30:00,0,0
19,28/05/2016 , 19:45:00,0,0
20,28/05/2016 , 20:00:00,0,0
21,28/05/2016 , 20:15:00,0,0
22,28/05/2016 , 20:30:00,0,0
23,28/05/2016 , 20:45:00,0,0
24,28/05/2016 , 21:00:00,0,0
25,28/05/2016 , 21:15:00,0,0
26,28/05/2016 , 21:30:00,0,0
27,28/05/2016 , 21:45:00,0,0
28,28/05/2016 , 22:00:00,0,0
29,28/05/2016 , 22:15:00,0,0
30,28/05/2016 , 22:30:00,0,0
31,28/05/2016 , 22:45:00,0,0
32,28/05/2016 , 23:00:00,0,0
33,28/05/2016 , 23:15:00,0,0
34,28/05/2016 , 23:30:00,0,0
35,28/05/2016 , 23:45:00,0,0
36,28/05/2016 , 24:00:00,0,0
37,29/05/2016 , 00:15:00,0,0
38,29/05/2016 , 00:30:00,0,0
39,29/05/2016 , 00:45:00,0,0
40,29/05/2016 , 01:00:00,0,0
41,29/05/2016 , 01:15:00,0,0
42,29/05/2016 , 01:30:00,0,0
43,29/05/2016 , 01:45:00,0,0
44,29/05/2016 , 02:00:00,0,0
45,29/05/2016 , 02:15:00,0,0
46,29/05/2016 , 02:30:00,0,0
47,29/05/2016 , 02:45:00,0,0
48,29/05/2016 , 03:00:00,0,0
49,29/05/2016 , 03:15:00,0,0
50,29/05/2016 , 03:30:00,0,0
51,29/05/2016 , 03:45:00,0,0
52,29/05/2016 , 04:00:00,0,0
53,29/05/2016 , 04:15:00,0,0
54,29/05/2016 , 04:30:00,0,0
55,29/05/2016 , 04:45:00,0,0
56,29/05/2016 , 05:00:00,0,0
57,29/05/2016 , 05:15:00,0,0
58,29/05/2016 , 05:30:00,0,0
59,29/05/2016 , 05:45:00,0,0
60,29/05/2016 , 06:00:00,0,0
61,29/05/2016 , 06:15:00,0,0
62,29/05/2016 , 06:30:00,0,0
63,29/05/2016 , 06:45:00,0,0
64,29/05/2016 , 07:00:00,0,0
65,29/05/2016 , 07:15:00,0,0
66,29/05/2016 , 07:30:00,0,0
67,29/05/2016 , 07:45:00,0,0
68,29/05/2016 , 08:00:00,0,0
69,29/05/2016 , 08:15:00,0,0
70,29/05/2016 , 08:30:00,0,0
71,29/05/2016 , 08:45:00,0,0
72,29/05/2016 , 09:00:00,0,0
73,29/05/2016 , 09:15:00,0,0
74,29/05/2016 , 09:30:00,0,0
75,29/05/2016 , 09:45:00,0,0
76,29/05/2016 , 10:00:00,0,0
77,29/05/2016 , 10:15:00,0,0
78,29/05/2016 , 10:30:00,0,0
79,29/05/2016 , 10:45:00,0,0
80,29/05/2016 , 11:00:00,0,0
81,29/05/2016 , 11:15:00,0,0
82,29/05/2016 , 11:30:00,0,0
83,29/05/2016 , 11:45:00,0,0
84,29/05/2016 , 12:00:00,0,0
85,29/05/2016 , 12:15:00,0,0
86,29/05/2016 , 12:30:00,0,0
87,29/05/2016 , 12:45:00,0,0
88,29/05/2016 , 13:00:00,0,0
89,29/05/2016 , 13:15:00,0,0
90,29/05/2016 , 13:30:00,0,0
91,29/05/2016 , 13:45:00,0,0
92,29/05/2016 , 14:00:00,0,0
93,29/05/2016 , 14:15:00,0,0
94,29/05/2016 , 14:30:00,0,0
95,29/05/2016 , 14:45:00,0,0
96,29/05/2016 , 15:00:00,0,0
97,29/05/2016 , 15:15:00,0,0
98,29/05/2016 , 15:30:00,0,0
99,29/05/2016 , 15:45:00,0,0
100,29/05/2016 , 16:00:00,0,0
101,29/05/2016 , 16:15:00,0,0
102,29/05/2016 , 16:30:00,0,0
103,29/05/2016 , 16:45:00,0,0
104,29/05/2016 , 17:00:00,0,0
105,29/05/2016 , 17:15:00,0,0
106,29/05/2016 , 17:30:00,0,0
107,29/05/2016 , 17:45:00,0,0
108,29/05/2016 , 18:00:00,0,0
109,29/05/2016 , 18:15:00,0,0
110,29/05/2016 , 18:30:00,0,0
111,29/05/2016 , 18:45:00,0,0
112,29/05/2016 , 19:00:00,0,0
113,29/05/2016 , 19:15:00,0,0
114,29/05/2016 , 19:30:00,0,0
115,29/05/2016 , 19:45:00,0,0
116,29/05/2016 , 20:00:00,0,0
117,29/05/2016 , 20:15:00,0,0
118,29/05/2016 , 20:30:00,0,0
119,29/05/2016 , 20:45:00,0,0
120,29/05/2016 , 21:00:00,0,0
121,29/05/2016 , 21:15:00,0,0
122,29/05/2016 , 21:30:00,0,0
123,29/05/2016 , 21:45:00,0,0
124,29/05/2016 , 22:00:00,0,0
125,29/05/2016 , 22:15:00,0,0
126,29/05/2016 , 22:30:00,0,0
127,29/05/2016 , 22:45:00,0,0
128,29/05/2016 , 23:00:00,0,0
129,29/05/2016 , 23:15:00,0,0
130,29/05/2016 , 23:30:00,0,0
131,29/05/2016 , 23:45:00,0,0
132,29/05/2016 , 24:00:00,0,0
133,30/05/2016 , 00:15:00,0,0
134,30/05/2016 , 00:30:00,0,0
135,30/05/2016 , 00:45:00,0,0
136,30/05/2016 , 01:00:00,0,0
137,30/05/2016 , 01:15:00,0,0
138,30/05/2016 , 01:30:00,0,0
139,30/05/2016 , 01:45:00,0,0
140,30/05/2016 , 02:00:00,0,0
141,30/05/2016 , 02:15:00,0,0
142,30/05/2016 , 02:30:00,0,0
143,30/05/2016 , 02:45:00,0,0
144,30/05/2016 , 03:00:00,0,0
145,30/05/2016 , 03:15:00,0,0
146,30/05/2016 , 03:30:00,0,0
147,30/05/2016 , 03:45:00,0,0
148,30/05/2016 , 04:00:00,0,0
149,30/05/2016 , 04:15:00,0,0
150,30/05/2016 , 04:30:00,0,0
151,30/05/2016 , 04:45:00,0,0
152,30/05/2016 , 05:00:00,0,0
153,30/05/2016 , 05:15:00,0,0
154,30/05/2016 , 05:30:00,0,0
155,30/05/2016 , 05:45:00,0,0
156,30/05/2016 , 06:00:00,0,0
157,30/05/2016 , 06:15:00,0,0
158,30/05/2016 , 06:30:00,0,0
159,30/05/2016 , 06:45:00,0,0
160,30/05/2016 , 07:00:00,0,0
161,30/05/2016 , 07:15:00,0,0
162,30/05/2016 , 07:30:00,0,0
163,30/05/2016 , 07:45:00,0,0
164,30/05/2016 , 08:00:00,0,0
165,30/05/2016 , 08:15:00,0,0
166,30/05/2016 , 08:30:00,0,0
167,30/05/2016 , 08:45:00,0,0
168,30/05/2016 , 09:00:00,0,0
169,30/05/2016 , 09:15:00,0,0
170,30/05/2016 , 09:30:00,0,0
171,30/05/2016 , 09:45:00,0,0
172,30/05/2016 , 10:00:00,0,0
173,30/05/2016 , 10:15:00,0,0
174,30/05/2016 , 10:30:00,0,0
175,30/05/2016 , 10:45:00,0,0
176,30/05/2016 , 11:00:00,0,0
177,30/05/2016 , 11:15:00,0,0
178,30/05/2016 , 11:30:00,1,0.2
179,30/05/2016 , 11:45:00,0,0
180,30/05/2016 , 12:00:00,0,0
181,30/05/2016 , 12:15:00,0,0
182,30/05/2016 , 12:30:00,0,0
183,30/05/2016 , 12:45:00,0,0
184,30/05/2016 , 13:00:00,0,0
185,30/05/2016 , 13:15:00,232,45.7
186,30/05/2016 , 13:30:00,467,91.9
187,30/05/2016 , 13:45:00,0,0
188,30/05/2016 , 14:00:00,37,7.3
189,30/05/2016 , 14:15:00,352,69.3
190,30/05/2016 , 14:30:00,2881,567.1
191,30/05/2016 , 14:45:00,3380,665.3
192,30/05/2016 , 15:00:00,4084,803.9
193,30/05/2016 , 15:15:00,2227,438.4
194,30/05/2016 , 15:30:00,2365,465.5
195,30/05/2016 , 15:45:00,2197,432.5
196,30/05/2016 , 16:00:00,1412,277.9
197,30/05/2016 , 16:15:00,1536,302.3
198,30/05/2016 , 16:30:00,1536,302.3
199,30/05/2016 , 16:45:00,1627,320.3
200,30/05/2016 , 17:00:00,1478,290.9
201,30/05/2016 , 17:15:00,1444,284.2
202,30/05/2016 , 17:30:00,1324,260.6
203,30/05/2016 , 17:45:00,321,63.2
204,30/05/2016 , 18:00:00,503,99
205,30/05/2016 , 18:15:00,253,49.8
206,30/05/2016 , 18:30:00,175,34.4
207,30/05/2016 , 18:45:00,120,23.6
208,30/05/2016 , 19:00:00,27,5.3
209,30/05/2016 , 19:15:00,0,0
210,30/05/2016 , 19:30:00,0,0
211,30/05/2016 , 19:45:00,0,0
212,30/05/2016 , 20:00:00,0,0
213,30/05/2016 , 20:15:00,0,0
214,30/05/2016 , 20:30:00,0,0
215,30/05/2016 , 20:45:00,0,0
216,30/05/2016 , 21:00:00,0,0
217,30/05/2016 , 21:15:00,0,0
218,30/05/2016 , 21:30:00,0,0
219,30/05/2016 , 21:45:00,0,0
220,30/05/2016 , 22:00:00,0,0
221,30/05/2016 , 22:15:00,0,0
222,30/05/2016 , 22:30:00,0,0
223,30/05/2016 , 22:45:00,0,0
224,30/05/2016 , 23:00:00,0,0
225,30/05/2016 , 23:15:00,0,0
226,30/05/2016 , 23:30:00,0,0
227,30/05/2016 , 23:45:00,0,0
228,30/05/2016 , 24:00:00,0,0
229,31/05/2016 , 00:15:00,0,0
230,31/05/2016 , 00:30:00,0,0
231,31/05/2016 , 00:45:00,0,0
232,31/05/2016 , 01:00:00,0,0
233,31/05/2016 , 01:15:00,0,0
234,31/05/2016 , 01:30:00,0,0
235,31/05/2016 , 01:45:00,0,0
236,31/05/2016 , 02:00:00,0,0
237,31/05/2016 , 02:15:00,0,0
238,31/05/2016 , 02:30:00,0,0
239,31/05/2016 , 02:45:00,0,0
240,31/05/2016 , 03:00:00,0,0
241,31/05/2016 , 03:15:00,0,0
242,31/05/2016 , 03:30:00,0,0
243,31/05/2016 , 03:45:00,0,0
244,31/05/2016 , 04:00:00,0,0
245,31/05/2016 , 04:15:00,0,0
246,31/05/2016 , 04:30:00,0,0
247,31/05/2016 , 04:45:00,0,0
248,31/05/2016 , 05:00:00,0,0
249,31/05/2016 , 05:15:00,0,0
250,31/05/2016 , 05:30:00,0,0
251,31/05/2016 , 05:45:00,0,0
252,31/05/2016 , 06:00:00,0,0
253,31/05/2016 , 06:15:00,1,0.2
254,31/05/2016 , 06:30:00,104,20.5
255,31/05/2016 , 06:45:00,139,27.4
256,31/05/2016 , 07:00:00,184,36.2
257,31/05/2016 , 07:15:00,244,48
258,31/05/2016 , 07:30:00,721,141.9
259,31/05/2016 , 07:45:00,1462,287.8
260,31/05/2016 , 08:00:00,1523,299.8
261,31/05/2016 , 08:15:00,1037,204.1
262,31/05/2016 , 08:30:00,1228,241.7
263,31/05/2016 , 08:45:00,1859,365.9
264,31/05/2016 , 09:00:00,2304,453.5
265,31/05/2016 , 09:15:00,1337,263.2
266,31/05/2016 , 09:30:00,1872,368.5
267,31/05/2016 , 09:45:00,2356,463.8
268,31/05/2016 , 10:00:00,2305,453.7
269,31/05/2016 , 10:15:00,1493,293.9
270,31/05/2016 , 10:30:00,3381,665.5
271,31/05/2016 , 10:45:00,3971,781.6
272,31/05/2016 , 11:00:00,3342,657.8
273,31/05/2016 , 11:15:00,2122,417.7
274,31/05/2016 , 11:30:00,2501,492.3
275,31/05/2016 , 11:45:00,3332,655.9
276,31/05/2016 , 12:00:00,3429,675
277,31/05/2016 , 12:15:00,3291,647.8
278,31/05/2016 , 12:30:00,2548,501.5
279,31/05/2016 , 12:45:00,1999,393.5
280,31/05/2016 , 13:00:00,2299,452.5
281,31/05/2016 , 13:15:00,2532,498.4
282,31/05/2016 , 13:30:00,3482,685.4
283,31/05/2016 , 13:45:00,3204,630.7
284,31/05/2016 , 14:00:00,2781,547.4
285,31/05/2016 , 14:15:00,1473,289.9
286,31/05/2016 , 14:30:00,1858,365.7
287,31/05/2016 , 14:45:00,2074,408.2
288,31/05/2016 , 15:00:00,2055,404.5
289,31/05/2016 , 15:15:00,1498,294.9
290,31/05/2016 , 15:30:00,1729,340.3
291,31/05/2016 , 15:45:00,1676,329.9
292,31/05/2016 , 16:00:00,1734,341.3
293,31/05/2016 , 16:15:00,1273,250.6
294,31/05/2016 , 16:30:00,978,192.5
295,31/05/2016 , 16:45:00,883,173.8
296,31/05/2016 , 17:00:00,1008,198.4
297,31/05/2016 , 17:15:00,902,177.5
298,31/05/2016 , 17:30:00,754,148.4
299,31/05/2016 , 17:45:00,845,166.3
300,31/05/2016 , 18:00:00,755,148.6
301,31/05/2016 , 18:15:00,639,125.8
302,31/05/2016 , 18:30:00,439,86.4
303,31/05/2016 , 18:45:00,295,58.1
304,31/05/2016 , 19:00:00,159,31.3
305,31/05/2016 , 19:15:00,35,6.9
306,31/05/2016 , 19:30:00,0,0
307,31/05/2016 , 19:45:00,0,0
308,31/05/2016 , 20:00:00,0,0
309,31/05/2016 , 20:15:00,0,0
310,31/05/2016 , 20:30:00,0,0
311,31/05/2016 , 20:45:00,0,0
312,31/05/2016 , 21:00:00,0,0
313,31/05/2016 , 21:15:00,0,0
314,31/05/2016 , 21:30:00,0,0
315,31/05/2016 , 21:45:00,0,0
