ï»¿Site Name ,RRW1,,,
Site Number ,20,,,
Logger ,Integrating Light Sensor,,,
Logger Serial Number ,4375,,,
,,,,
,,,,
Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,
,,,,
4,8/2/16, 13:30:00,12011,12011
5,8/2/16, 13:45:00,11345,11345
6,8/2/16, 14:00:00,12534,12534
7,8/2/16, 14:15:00,9279,9279
8,8/2/16, 14:30:00,8518,8518
9,8/2/16, 14:45:00,11034,11034
10,8/2/16, 15:00:00,9084,9084
11,8/2/16, 15:15:00,8016,8016
12,8/2/16, 15:30:00,5970,5970
13,8/2/16, 15:45:00,3443,3443
14,8/2/16, 16:00:00,3404,3404
15,8/2/16, 16:15:00,3725,3725
16,8/2/16, 16:30:00,2118,2118
17,8/2/16, 16:45:00,3235,3235
18,8/2/16, 17:00:00,1621,1621
19,8/2/16, 17:15:00,1703,1703
20,8/2/16, 17:30:00,1338,1338
21,8/2/16, 17:45:00,928,928
22,8/2/16, 18:00:00,802,802
23,8/2/16, 18:15:00,466,466
24,8/2/16, 18:30:00,369,369
25,8/2/16, 18:45:00,240,240
26,8/2/16, 19:00:00,127,127
27,8/2/16, 19:15:00,46,46
28,8/2/16, 19:30:00,2,2
29,8/2/16, 19:45:00,0,0
30,8/2/16, 20:00:00,0,0
31,8/2/16, 20:15:00,0,0
32,8/2/16, 20:30:00,0,0
33,8/2/16, 20:45:00,0,0
34,8/2/16, 21:00:00,0,0
35,8/2/16, 21:15:00,0,0
36,8/2/16, 21:30:00,0,0
37,8/2/16, 21:45:00,0,0
38,8/2/16, 22:00:00,0,0
39,8/2/16, 22:15:00,0,0
40,8/2/16, 22:30:00,0,0
41,8/2/16, 22:45:00,0,0
42,8/2/16, 23:00:00,0,0
43,8/2/16, 23:15:00,0,0
44,8/2/16, 23:30:00,0,0
45,8/2/16, 23:45:00,0,0
46,8/2/16, 24:00:00,0,0
47,8/3/16, 00:15:00,0,0
48,8/3/16, 00:30:00,0,0
49,8/3/16, 00:45:00,0,0
50,8/3/16, 01:00:00,0,0
51,8/3/16, 01:15:00,0,0
52,8/3/16, 01:30:00,0,0
53,8/3/16, 01:45:00,0,0
54,8/3/16, 02:00:00,0,0
55,8/3/16, 02:15:00,0,0
56,8/3/16, 02:30:00,0,0
57,8/3/16, 02:45:00,0,0
58,8/3/16, 03:00:00,0,0
59,8/3/16, 03:15:00,0,0
60,8/3/16, 03:30:00,0,0
61,8/3/16, 03:45:00,0,0
62,8/3/16, 04:00:00,0,0
63,8/3/16, 04:15:00,0,0
64,8/3/16, 04:30:00,0,0
65,8/3/16, 04:45:00,0,0
66,8/3/16, 05:00:00,0,0
67,8/3/16, 05:15:00,0,0
68,8/3/16, 05:30:00,0,0
69,8/3/16, 05:45:00,0,0
70,8/3/16, 06:00:00,0,0
71,8/3/16, 06:15:00,15,15
72,8/3/16, 06:30:00,121,121
73,8/3/16, 06:45:00,208,208
74,8/3/16, 07:00:00,240,240
75,8/3/16, 07:15:00,407,407
76,8/3/16, 07:30:00,890,890
77,8/3/16, 07:45:00,840,840
78,8/3/16, 08:00:00,689,689
79,8/3/16, 08:15:00,727,727
80,8/3/16, 08:30:00,808,808
81,8/3/16, 08:45:00,902,902
82,8/3/16, 09:00:00,1048,1048
83,8/3/16, 09:15:00,1250,1250
84,8/3/16, 09:30:00,1451,1451
85,8/3/16, 09:45:00,1846,1846
86,8/3/16, 10:00:00,2190,2190
87,8/3/16, 10:15:00,2930,2930
88,8/3/16, 10:30:00,4974,4974
89,8/3/16, 10:45:00,8629,8629
90,8/3/16, 11:00:00,10394,10394
91,8/3/16, 11:15:00,11721,11721
92,8/3/16, 11:30:00,14216,14216
93,8/3/16, 11:45:00,16180,16180
94,8/3/16, 12:00:00,17161,17161
95,8/3/16, 12:15:00,17549,17549
96,8/3/16, 12:30:00,16883,16883
97,8/3/16, 12:45:00,16249,16249
98,8/3/16, 13:00:00,16410,16410
99,8/3/16, 13:15:00,15990,15990
100,8/3/16, 13:30:00,15394,15394
101,8/3/16, 13:45:00,13214,13214
102,8/3/16, 14:00:00,11682,11682
103,8/3/16, 14:15:00,12833,12833
104,8/3/16, 14:30:00,12054,12054
105,8/3/16, 14:45:00,9433,9433
106,8/3/16, 15:00:00,9028,9028
107,8/3/16, 15:15:00,6819,6819
108,8/3/16, 15:30:00,4337,4337
109,8/3/16, 15:45:00,2213,2213
110,8/3/16, 16:00:00,2993,2993
111,8/3/16, 16:15:00,2250,2250
112,8/3/16, 16:30:00,2566,2566
113,8/3/16, 16:45:00,1523,1523
114,8/3/16, 17:00:00,1921,1921
115,8/3/16, 17:15:00,1188,1188
116,8/3/16, 17:30:00,872,872
117,8/3/16, 17:45:00,670,670
118,8/3/16, 18:00:00,442,442
119,8/3/16, 18:15:00,362,362
120,8/3/16, 18:30:00,198,198
121,8/3/16, 18:45:00,126,126
122,8/3/16, 19:00:00,73,73
123,8/3/16, 19:15:00,14,14
124,8/3/16, 19:30:00,0,0
125,8/3/16, 19:45:00,0,0
126,8/3/16, 20:00:00,0,0
127,8/3/16, 20:15:00,0,0
128,8/3/16, 20:30:00,0,0
129,8/3/16, 20:45:00,0,0
130,8/3/16, 21:00:00,0,0
131,8/3/16, 21:15:00,0,0
132,8/3/16, 21:30:00,0,0
133,8/3/16, 21:45:00,0,0
134,8/3/16, 22:00:00,0,0
135,8/3/16, 22:15:00,0,0
136,8/3/16, 22:30:00,0,0
137,8/3/16, 22:45:00,0,0
138,8/3/16, 23:00:00,0,0
139,8/3/16, 23:15:00,0,0
140,8/3/16, 23:30:00,0,0
141,8/3/16, 23:45:00,0,0
142,8/3/16, 24:00:00,0,0
143,8/4/16, 00:15:00,0,0
144,8/4/16, 00:30:00,0,0
145,8/4/16, 00:45:00,0,0
146,8/4/16, 01:00:00,0,0
147,8/4/16, 01:15:00,0,0
148,8/4/16, 01:30:00,0,0
149,8/4/16, 01:45:00,0,0
150,8/4/16, 02:00:00,0,0
151,8/4/16, 02:15:00,0,0
152,8/4/16, 02:30:00,0,0
153,8/4/16, 02:45:00,0,0
154,8/4/16, 03:00:00,0,0
155,8/4/16, 03:15:00,0,0
156,8/4/16, 03:30:00,0,0
157,8/4/16, 03:45:00,0,0
158,8/4/16, 04:00:00,0,0
159,8/4/16, 04:15:00,0,0
160,8/4/16, 04:30:00,0,0
161,8/4/16, 04:45:00,0,0
162,8/4/16, 05:00:00,0,0
163,8/4/16, 05:15:00,0,0
164,8/4/16, 05:30:00,0,0
165,8/4/16, 05:45:00,0,0
166,8/4/16, 06:00:00,0,0
167,8/4/16, 06:15:00,13,13
168,8/4/16, 06:30:00,115,115
169,8/4/16, 06:45:00,266,266
170,8/4/16, 07:00:00,314,314
171,8/4/16, 07:15:00,710,710
172,8/4/16, 07:30:00,601,601
173,8/4/16, 07:45:00,1065,1065
174,8/4/16, 08:00:00,1131,1131
175,8/4/16, 08:15:00,1357,1357
176,8/4/16, 08:30:00,1250,1250
177,8/4/16, 08:45:00,1045,1045
178,8/4/16, 09:00:00,1545,1545
179,8/4/16, 09:15:00,1105,1105
180,8/4/16, 09:30:00,1365,1365
181,8/4/16, 09:45:00,1709,1709
182,8/4/16, 10:00:00,2388,2388
183,8/4/16, 10:15:00,2304,2304
184,8/4/16, 10:30:00,4667,4667
185,8/4/16, 10:45:00,5635,5635
186,8/4/16, 11:00:00,5012,5012
187,8/4/16, 11:15:00,10532,10532
188,8/4/16, 11:30:00,11038,11038
189,8/4/16, 11:45:00,9352,9352
190,8/4/16, 12:00:00,8803,8803
191,8/4/16, 12:15:00,15163,15163
192,8/4/16, 12:30:00,15376,15376
193,8/4/16, 12:45:00,12279,12279
194,8/4/16, 13:00:00,10577,10577
195,8/4/16, 13:15:00,11492,11492
196,8/4/16, 13:30:00,10231,10231
197,8/4/16, 13:45:00,8308,8308
198,8/4/16, 14:00:00,8226,8226
199,8/4/16, 14:15:00,4285,4285
200,8/4/16, 14:30:00,9985,9985
201,8/4/16, 14:45:00,8651,8651
202,8/4/16, 15:00:00,8520,8520
203,8/4/16, 15:15:00,7600,7600
204,8/4/16, 15:30:00,5798,5798
205,8/4/16, 15:45:00,5220,5220
206,8/4/16, 16:00:00,2904,2904
207,8/4/16, 16:15:00,3661,3661
208,8/4/16, 16:30:00,2166,2166
209,8/4/16, 16:45:00,1730,1730
210,8/4/16, 17:00:00,1504,1504
211,8/4/16, 17:15:00,1504,1504
212,8/4/16, 17:30:00,912,912
213,8/4/16, 17:45:00,885,885
214,8/4/16, 18:00:00,772,772
215,8/4/16, 18:15:00,492,492
216,8/4/16, 18:30:00,227,227
217,8/4/16, 18:45:00,197,197
218,8/4/16, 19:00:00,76,76
219,8/4/16, 19:15:00,24,24
220,8/4/16, 19:30:00,1,1
221,8/4/16, 19:45:00,0,0
222,8/4/16, 20:00:00,0,0
223,8/4/16, 20:15:00,0,0
224,8/4/16, 20:30:00,0,0
225,8/4/16, 20:45:00,0,0
226,8/4/16, 21:00:00,0,0
227,8/4/16, 21:15:00,0,0
228,8/4/16, 21:30:00,0,0
229,8/4/16, 21:45:00,0,0
230,8/4/16, 22:00:00,0,0
231,8/4/16, 22:15:00,0,0
232,8/4/16, 22:30:00,0,0
233,8/4/16, 22:45:00,0,0
234,8/4/16, 23:00:00,0,0
235,8/4/16, 23:15:00,0,0
236,8/4/16, 23:30:00,0,0
237,8/4/16, 23:45:00,0,0
238,8/4/16, 24:00:00,0,0
239,8/5/16, 00:15:00,0,0
240,8/5/16, 00:30:00,0,0
241,8/5/16, 00:45:00,0,0
242,8/5/16, 01:00:00,0,0
243,8/5/16, 01:15:00,0,0
244,8/5/16, 01:30:00,0,0
245,8/5/16, 01:45:00,0,0
246,8/5/16, 02:00:00,0,0
247,8/5/16, 02:15:00,0,0
248,8/5/16, 02:30:00,0,0
249,8/5/16, 02:45:00,0,0
250,8/5/16, 03:00:00,0,0
251,8/5/16, 03:15:00,0,0
252,8/5/16, 03:30:00,0,0
253,8/5/16, 03:45:00,0,0
254,8/5/16, 04:00:00,0,0
255,8/5/16, 04:15:00,0,0
256,8/5/16, 04:30:00,0,0
257,8/5/16, 04:45:00,0,0
258,8/5/16, 05:00:00,0,0
259,8/5/16, 05:15:00,0,0
260,8/5/16, 05:30:00,0,0
261,8/5/16, 05:45:00,0,0
262,8/5/16, 06:00:00,0,0
263,8/5/16, 06:15:00,13,13
264,8/5/16, 06:30:00,78,78
265,8/5/16, 06:45:00,187,187
266,8/5/16, 07:00:00,263,263
267,8/5/16, 07:15:00,601,601
268,8/5/16, 07:30:00,669,669
269,8/5/16, 07:45:00,451,451
270,8/5/16, 08:00:00,516,516
271,8/5/16, 08:15:00,649,649
272,8/5/16, 08:30:00,1040,1040
273,8/5/16, 08:45:00,1030,1030
274,8/5/16, 09:00:00,1136,1136
275,8/5/16, 09:15:00,1715,1715
276,8/5/16, 09:30:00,1270,1270
277,8/5/16, 09:45:00,1704,1704
278,8/5/16, 10:00:00,2018,2018
279,8/5/16, 10:15:00,2802,2802
280,8/5/16, 10:30:00,4532,4532
281,8/5/16, 10:45:00,3120,3120
282,8/5/16, 11:00:00,4371,4371
283,8/5/16, 11:15:00,3945,3945
284,8/5/16, 11:30:00,5615,5615
285,8/5/16, 11:45:00,5695,5695
286,8/5/16, 12:00:00,7482,7482
287,8/5/16, 12:15:00,7495,7495
288,8/5/16, 12:30:00,7397,7397
289,8/5/16, 12:45:00,11268,11268
290,8/5/16, 13:00:00,9471,9471
291,8/5/16, 13:15:00,11709,11709
292,8/5/16, 13:30:00,11373,11373
293,8/5/16, 13:45:00,7501,7501
