Site Name ,RRW1
Site Number ,20
Logger ,Integrating Light Sensor
Logger Serial Number ,4375


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,08/11/2016 , 11:15:00,3385,3385
2,08/11/2016 , 11:30:00,11629,11629
3,08/11/2016 , 11:45:00,9108,9108
4,08/11/2016 , 12:00:00,7894,7894
5,08/11/2016 , 12:15:00,14333,14333
6,08/11/2016 , 12:30:00,13488,13488
7,08/11/2016 , 12:45:00,13826,13826
8,08/11/2016 , 13:00:00,11564,11564
9,08/11/2016 , 13:15:00,10627,10627
10,08/11/2016 , 13:30:00,14212,14212
11,08/11/2016 , 13:45:00,10552,10552
12,08/11/2016 , 14:00:00,14183,14183
13,08/11/2016 , 14:15:00,11067,11067
14,08/11/2016 , 14:30:00,10114,10114
15,08/11/2016 , 14:45:00,7236,7236
16,08/11/2016 , 15:00:00,4095,4095
17,08/11/2016 , 15:15:00,2035,2035
18,08/11/2016 , 15:30:00,1423,1423
19,08/11/2016 , 15:45:00,1739,1739
20,08/11/2016 , 16:00:00,1815,1815
21,08/11/2016 , 16:15:00,1911,1911
22,08/11/2016 , 16:30:00,1064,1064
23,08/11/2016 , 16:45:00,2097,2097
24,08/11/2016 , 17:00:00,1584,1584
25,08/11/2016 , 17:15:00,1262,1262
26,08/11/2016 , 17:30:00,440,440
27,08/11/2016 , 17:45:00,124,124
28,08/11/2016 , 18:00:00,22,22
29,08/11/2016 , 18:15:00,0,0
30,08/11/2016 , 18:30:00,0,0
31,08/11/2016 , 18:45:00,0,0
32,08/11/2016 , 19:00:00,0,0
33,08/11/2016 , 19:15:00,0,0
34,08/11/2016 , 19:30:00,0,0
35,08/11/2016 , 19:45:00,0,0
36,08/11/2016 , 20:00:00,0,0
37,08/11/2016 , 20:15:00,0,0
38,08/11/2016 , 20:30:00,0,0
39,08/11/2016 , 20:45:00,0,0
40,08/11/2016 , 21:00:00,0,0
41,08/11/2016 , 21:15:00,0,0
42,08/11/2016 , 21:30:00,0,0
43,08/11/2016 , 21:45:00,0,0
44,08/11/2016 , 22:00:00,0,0
45,08/11/2016 , 22:15:00,0,0
46,08/11/2016 , 22:30:00,0,0
47,08/11/2016 , 22:45:00,0,0
48,08/11/2016 , 23:00:00,0,0
49,08/11/2016 , 23:15:00,0,0
50,08/11/2016 , 23:30:00,0,0
51,08/11/2016 , 23:45:00,0,0
52,08/11/2016 , 24:00:00,0,0
53,09/11/2016 , 00:15:00,0,0
54,09/11/2016 , 00:30:00,0,0
55,09/11/2016 , 00:45:00,0,0
56,09/11/2016 , 01:00:00,0,0
57,09/11/2016 , 01:15:00,0,0
58,09/11/2016 , 01:30:00,0,0
59,09/11/2016 , 01:45:00,0,0
60,09/11/2016 , 02:00:00,0,0
61,09/11/2016 , 02:15:00,0,0
62,09/11/2016 , 02:30:00,0,0
63,09/11/2016 , 02:45:00,0,0
64,09/11/2016 , 03:00:00,0,0
65,09/11/2016 , 03:15:00,0,0
66,09/11/2016 , 03:30:00,0,0
67,09/11/2016 , 03:45:00,0,0
68,09/11/2016 , 04:00:00,0,0
69,09/11/2016 , 04:15:00,0,0
70,09/11/2016 , 04:30:00,0,0
71,09/11/2016 , 04:45:00,0,0
72,09/11/2016 , 05:00:00,0,0
73,09/11/2016 , 05:15:00,0,0
74,09/11/2016 , 05:30:00,0,0
75,09/11/2016 , 05:45:00,0,0
76,09/11/2016 , 06:00:00,0,0
77,09/11/2016 , 06:15:00,0,0
78,09/11/2016 , 06:30:00,0,0
79,09/11/2016 , 06:45:00,22,22
80,09/11/2016 , 07:00:00,172,172
81,09/11/2016 , 07:15:00,398,398
82,09/11/2016 , 07:30:00,665,665
83,09/11/2016 , 07:45:00,926,926
84,09/11/2016 , 08:00:00,1219,1219
85,09/11/2016 , 08:15:00,1680,1680
86,09/11/2016 , 08:30:00,2775,2775
87,09/11/2016 , 08:45:00,4360,4360
88,09/11/2016 , 09:00:00,5676,5676
89,09/11/2016 , 09:15:00,6695,6695
90,09/11/2016 , 09:30:00,7965,7965
91,09/11/2016 , 09:45:00,9234,9234
92,09/11/2016 , 10:00:00,10375,10375
93,09/11/2016 , 10:15:00,11417,11417
94,09/11/2016 , 10:30:00,12412,12412
95,09/11/2016 , 10:45:00,13221,13221
96,09/11/2016 , 11:00:00,14069,14069
97,09/11/2016 , 11:15:00,14595,14595
98,09/11/2016 , 11:30:00,15311,15311
99,09/11/2016 , 11:45:00,15917,15917
100,09/11/2016 , 12:00:00,16768,16768
101,09/11/2016 , 12:15:00,17128,17128
102,09/11/2016 , 12:30:00,17199,17199
103,09/11/2016 , 12:45:00,10580,10580
104,09/11/2016 , 13:00:00,14533,14533
105,09/11/2016 , 13:15:00,9524,9524
106,09/11/2016 , 13:30:00,13609,13609
107,09/11/2016 , 13:45:00,9249,9249
