Site Name ,KBAY4805
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,4805


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,08/11/2016 , 11:15:00,1915,1915
2,08/11/2016 , 11:30:00,6544,6544
3,08/11/2016 , 11:45:00,6086,6086
4,08/11/2016 , 12:00:00,5247,5247
5,08/11/2016 , 12:15:00,3293,3293
6,08/11/2016 , 12:30:00,2835,2835
7,08/11/2016 , 12:45:00,448,448
8,08/11/2016 , 13:00:00,2690,2690
9,08/11/2016 , 13:15:00,4034,4034
10,08/11/2016 , 13:30:00,5294,5294
11,08/11/2016 , 13:45:00,2513,2513
12,08/11/2016 , 14:00:00,2682,2682
13,08/11/2016 , 14:15:00,3916,3916
14,08/11/2016 , 14:30:00,2797,2797
15,08/11/2016 , 14:45:00,2901,2901
16,08/11/2016 , 15:00:00,4204,4204
17,08/11/2016 , 15:15:00,2198,2198
18,08/11/2016 , 15:30:00,1640,1640
19,08/11/2016 , 15:45:00,1570,1570
20,08/11/2016 , 16:00:00,1201,1201
21,08/11/2016 , 16:15:00,1261,1261
22,08/11/2016 , 16:30:00,1443,1443
23,08/11/2016 , 16:45:00,1284,1284
24,08/11/2016 , 17:00:00,661,661
25,08/11/2016 , 17:15:00,511,511
26,08/11/2016 , 17:30:00,349,349
27,08/11/2016 , 17:45:00,212,212
28,08/11/2016 , 18:00:00,79,79
29,08/11/2016 , 18:15:00,7,7
30,08/11/2016 , 18:30:00,0,0
31,08/11/2016 , 18:45:00,0,0
32,08/11/2016 , 19:00:00,0,0
33,08/11/2016 , 19:15:00,0,0
34,08/11/2016 , 19:30:00,0,0
35,08/11/2016 , 19:45:00,0,0
36,08/11/2016 , 20:00:00,0,0
37,08/11/2016 , 20:15:00,0,0
38,08/11/2016 , 20:30:00,0,0
39,08/11/2016 , 20:45:00,0,0
40,08/11/2016 , 21:00:00,0,0
41,08/11/2016 , 21:15:00,0,0
42,08/11/2016 , 21:30:00,0,0
43,08/11/2016 , 21:45:00,0,0
44,08/11/2016 , 22:00:00,0,0
45,08/11/2016 , 22:15:00,0,0
46,08/11/2016 , 22:30:00,0,0
47,08/11/2016 , 22:45:00,0,0
48,08/11/2016 , 23:00:00,0,0
49,08/11/2016 , 23:15:00,0,0
50,08/11/2016 , 23:30:00,0,0
51,08/11/2016 , 23:45:00,0,0
52,08/11/2016 , 24:00:00,0,0
53,09/11/2016 , 00:15:00,0,0
54,09/11/2016 , 00:30:00,0,0
55,09/11/2016 , 00:45:00,0,0
56,09/11/2016 , 01:00:00,0,0
57,09/11/2016 , 01:15:00,0,0
58,09/11/2016 , 01:30:00,0,0
59,09/11/2016 , 01:45:00,0,0
60,09/11/2016 , 02:00:00,0,0
61,09/11/2016 , 02:15:00,0,0
62,09/11/2016 , 02:30:00,0,0
63,09/11/2016 , 02:45:00,0,0
64,09/11/2016 , 03:00:00,0,0
65,09/11/2016 , 03:15:00,0,0
66,09/11/2016 , 03:30:00,0,0
67,09/11/2016 , 03:45:00,0,0
68,09/11/2016 , 04:00:00,0,0
69,09/11/2016 , 04:15:00,0,0
70,09/11/2016 , 04:30:00,0,0
71,09/11/2016 , 04:45:00,0,0
72,09/11/2016 , 05:00:00,0,0
73,09/11/2016 , 05:15:00,0,0
74,09/11/2016 , 05:30:00,0,0
75,09/11/2016 , 05:45:00,0,0
76,09/11/2016 , 06:00:00,0,0
77,09/11/2016 , 06:15:00,0,0
78,09/11/2016 , 06:30:00,0,0
79,09/11/2016 , 06:45:00,25,25
80,09/11/2016 , 07:00:00,155,155
81,09/11/2016 , 07:15:00,349,349
82,09/11/2016 , 07:30:00,719,719
83,09/11/2016 , 07:45:00,1132,1132
84,09/11/2016 , 08:00:00,1666,1666
85,09/11/2016 , 08:15:00,2132,2132
86,09/11/2016 , 08:30:00,2702,2702
87,09/11/2016 , 08:45:00,3295,3295
88,09/11/2016 , 09:00:00,3900,3900
89,09/11/2016 , 09:15:00,4516,4516
90,09/11/2016 , 09:30:00,5162,5162
91,09/11/2016 , 09:45:00,5819,5819
92,09/11/2016 , 10:00:00,6518,6518
93,09/11/2016 , 10:15:00,7152,7152
94,09/11/2016 , 10:30:00,7688,7688
95,09/11/2016 , 10:45:00,8104,8104
96,09/11/2016 , 11:00:00,8675,8675
97,09/11/2016 , 11:15:00,9188,9188
98,09/11/2016 , 11:30:00,9561,9561
99,09/11/2016 , 11:45:00,9987,9987
100,09/11/2016 , 12:00:00,10232,10232
101,09/11/2016 , 12:15:00,9677,9677
102,09/11/2016 , 12:30:00,10950,10950
103,09/11/2016 , 12:45:00,10741,10741
104,09/11/2016 , 13:00:00,10921,10921
105,09/11/2016 , 13:15:00,4886,4886
106,09/11/2016 , 13:30:00,4328,4328
107,09/11/2016 , 13:45:00,5941,5941
