Site Name ,KBAY
Site Number ,2
Logger ,Integrating Light Sensor
Logger Serial Number ,4804


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,08/11/2016 , 11:15:00,459,459
2,08/11/2016 , 11:30:00,28525,28525
3,08/11/2016 , 11:45:00,30371,30371
4,08/11/2016 , 12:00:00,39022,39022
5,08/11/2016 , 12:15:00,44911,44911
6,08/11/2016 , 12:30:00,44314,44314
7,08/11/2016 , 12:45:00,13695,13695
8,08/11/2016 , 13:00:00,4555,4555
9,08/11/2016 , 13:15:00,3490,3490
10,08/11/2016 , 13:30:00,5840,5840
11,08/11/2016 , 13:45:00,5164,5164
12,08/11/2016 , 14:00:00,4959,4959
13,08/11/2016 , 14:15:00,3586,3586
14,08/11/2016 , 14:30:00,3299,3299
15,08/11/2016 , 14:45:00,3367,3367
16,08/11/2016 , 15:00:00,8773,8773
17,08/11/2016 , 15:15:00,3270,3270
18,08/11/2016 , 15:30:00,2544,2544
19,08/11/2016 , 15:45:00,1703,1703
20,08/11/2016 , 16:00:00,1410,1410
21,08/11/2016 , 16:15:00,1370,1370
22,08/11/2016 , 16:30:00,1411,1411
23,08/11/2016 , 16:45:00,1464,1464
24,08/11/2016 , 17:00:00,1083,1083
25,08/11/2016 , 17:15:00,721,721
26,08/11/2016 , 17:30:00,456,456
27,08/11/2016 , 17:45:00,263,263
28,08/11/2016 , 18:00:00,94,94
29,08/11/2016 , 18:15:00,4,4
30,08/11/2016 , 18:30:00,0,0
31,08/11/2016 , 18:45:00,0,0
32,08/11/2016 , 19:00:00,0,0
33,08/11/2016 , 19:15:00,0,0
34,08/11/2016 , 19:30:00,0,0
35,08/11/2016 , 19:45:00,0,0
36,08/11/2016 , 20:00:00,0,0
37,08/11/2016 , 20:15:00,0,0
38,08/11/2016 , 20:30:00,0,0
39,08/11/2016 , 20:45:00,0,0
40,08/11/2016 , 21:00:00,0,0
41,08/11/2016 , 21:15:00,0,0
42,08/11/2016 , 21:30:00,0,0
43,08/11/2016 , 21:45:00,0,0
44,08/11/2016 , 22:00:00,0,0
45,08/11/2016 , 22:15:00,0,0
46,08/11/2016 , 22:30:00,0,0
47,08/11/2016 , 22:45:00,0,0
48,08/11/2016 , 23:00:00,0,0
49,08/11/2016 , 23:15:00,0,0
50,08/11/2016 , 23:30:00,0,0
51,08/11/2016 , 23:45:00,0,0
52,08/11/2016 , 24:00:00,0,0
53,09/11/2016 , 00:15:00,0,0
54,09/11/2016 , 00:30:00,0,0
55,09/11/2016 , 00:45:00,0,0
56,09/11/2016 , 01:00:00,0,0
57,09/11/2016 , 01:15:00,0,0
58,09/11/2016 , 01:30:00,0,0
59,09/11/2016 , 01:45:00,0,0
60,09/11/2016 , 02:00:00,0,0
61,09/11/2016 , 02:15:00,0,0
62,09/11/2016 , 02:30:00,0,0
63,09/11/2016 , 02:45:00,0,0
64,09/11/2016 , 03:00:00,0,0
65,09/11/2016 , 03:15:00,0,0
66,09/11/2016 , 03:30:00,0,0
67,09/11/2016 , 03:45:00,0,0
68,09/11/2016 , 04:00:00,0,0
69,09/11/2016 , 04:15:00,0,0
70,09/11/2016 , 04:30:00,0,0
71,09/11/2016 , 04:45:00,0,0
72,09/11/2016 , 05:00:00,0,0
73,09/11/2016 , 05:15:00,0,0
74,09/11/2016 , 05:30:00,0,0
75,09/11/2016 , 05:45:00,0,0
76,09/11/2016 , 06:00:00,0,0
77,09/11/2016 , 06:15:00,0,0
78,09/11/2016 , 06:30:00,0,0
79,09/11/2016 , 06:45:00,28,28
80,09/11/2016 , 07:00:00,252,252
81,09/11/2016 , 07:15:00,633,633
82,09/11/2016 , 07:30:00,1313,1313
83,09/11/2016 , 07:45:00,2117,2117
84,09/11/2016 , 08:00:00,3029,3029
85,09/11/2016 , 08:15:00,4060,4060
86,09/11/2016 , 08:30:00,5204,5204
87,09/11/2016 , 08:45:00,6356,6356
88,09/11/2016 , 09:00:00,7579,7579
89,09/11/2016 , 09:15:00,9101,9101
90,09/11/2016 , 09:30:00,10415,10415
91,09/11/2016 , 09:45:00,11355,11355
92,09/11/2016 , 10:00:00,12554,12554
93,09/11/2016 , 10:15:00,13621,13621
94,09/11/2016 , 10:30:00,14648,14648
95,09/11/2016 , 10:45:00,15529,15529
96,09/11/2016 , 11:00:00,16306,16306
97,09/11/2016 , 11:15:00,17104,17104
98,09/11/2016 , 11:30:00,15507,15507
99,09/11/2016 , 11:45:00,14648,14648
100,09/11/2016 , 12:00:00,13635,13635
101,09/11/2016 , 12:15:00,18818,18818
102,09/11/2016 , 12:30:00,11335,11335
103,09/11/2016 , 12:45:00,15841,15841
104,09/11/2016 , 13:00:00,16898,16898
105,09/11/2016 , 13:15:00,8214,8214
106,09/11/2016 , 13:30:00,8523,8523
107,09/11/2016 , 13:45:00,8422,8422
