Site Name ,TANKS
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,4807


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,08/11/2016 , 11:15:00,11751,11751
2,08/11/2016 , 11:30:00,58269,58269
3,08/11/2016 , 11:45:00,38512,38512
4,08/11/2016 , 12:00:00,51922,51922
5,08/11/2016 , 12:15:00,65535,65535
6,08/11/2016 , 12:30:00,64784,64784
7,08/11/2016 , 12:45:00,18189,18189
8,08/11/2016 , 13:00:00,2038,2038
9,08/11/2016 , 13:15:00,1170,1170
10,08/11/2016 , 13:30:00,2025,2025
11,08/11/2016 , 13:45:00,1744,1744
12,08/11/2016 , 14:00:00,1587,1587
13,08/11/2016 , 14:15:00,1205,1205
14,08/11/2016 , 14:30:00,1124,1124
15,08/11/2016 , 14:45:00,1145,1145
16,08/11/2016 , 15:00:00,3009,3009
17,08/11/2016 , 15:15:00,977,977
18,08/11/2016 , 15:30:00,742,742
19,08/11/2016 , 15:45:00,464,464
20,08/11/2016 , 16:00:00,419,419
21,08/11/2016 , 16:15:00,396,396
22,08/11/2016 , 16:30:00,412,412
23,08/11/2016 , 16:45:00,415,415
24,08/11/2016 , 17:00:00,299,299
25,08/11/2016 , 17:15:00,209,209
26,08/11/2016 , 17:30:00,140,140
27,08/11/2016 , 17:45:00,77,77
28,08/11/2016 , 18:00:00,29,29
29,08/11/2016 , 18:15:00,1,1
30,08/11/2016 , 18:30:00,0,0
31,08/11/2016 , 18:45:00,0,0
32,08/11/2016 , 19:00:00,0,0
33,08/11/2016 , 19:15:00,0,0
34,08/11/2016 , 19:30:00,0,0
35,08/11/2016 , 19:45:00,0,0
36,08/11/2016 , 20:00:00,0,0
37,08/11/2016 , 20:15:00,0,0
38,08/11/2016 , 20:30:00,0,0
39,08/11/2016 , 20:45:00,0,0
40,08/11/2016 , 21:00:00,0,0
41,08/11/2016 , 21:15:00,0,0
42,08/11/2016 , 21:30:00,0,0
43,08/11/2016 , 21:45:00,0,0
44,08/11/2016 , 22:00:00,0,0
45,08/11/2016 , 22:15:00,0,0
46,08/11/2016 , 22:30:00,0,0
47,08/11/2016 , 22:45:00,0,0
48,08/11/2016 , 23:00:00,0,0
49,08/11/2016 , 23:15:00,0,0
50,08/11/2016 , 23:30:00,0,0
51,08/11/2016 , 23:45:00,0,0
52,08/11/2016 , 24:00:00,0,0
53,09/11/2016 , 00:15:00,0,0
54,09/11/2016 , 00:30:00,0,0
55,09/11/2016 , 00:45:00,0,0
56,09/11/2016 , 01:00:00,0,0
57,09/11/2016 , 01:15:00,0,0
58,09/11/2016 , 01:30:00,0,0
59,09/11/2016 , 01:45:00,0,0
60,09/11/2016 , 02:00:00,0,0
61,09/11/2016 , 02:15:00,0,0
62,09/11/2016 , 02:30:00,0,0
63,09/11/2016 , 02:45:00,0,0
64,09/11/2016 , 03:00:00,0,0
65,09/11/2016 , 03:15:00,0,0
66,09/11/2016 , 03:30:00,0,0
67,09/11/2016 , 03:45:00,0,0
68,09/11/2016 , 04:00:00,0,0
69,09/11/2016 , 04:15:00,0,0
70,09/11/2016 , 04:30:00,0,0
71,09/11/2016 , 04:45:00,0,0
72,09/11/2016 , 05:00:00,0,0
73,09/11/2016 , 05:15:00,0,0
74,09/11/2016 , 05:30:00,0,0
75,09/11/2016 , 05:45:00,0,0
76,09/11/2016 , 06:00:00,0,0
77,09/11/2016 , 06:15:00,0,0
78,09/11/2016 , 06:30:00,0,0
79,09/11/2016 , 06:45:00,14,14
80,09/11/2016 , 07:00:00,100,100
81,09/11/2016 , 07:15:00,246,246
82,09/11/2016 , 07:30:00,500,500
83,09/11/2016 , 07:45:00,796,796
84,09/11/2016 , 08:00:00,1175,1175
85,09/11/2016 , 08:15:00,1561,1561
86,09/11/2016 , 08:30:00,2032,2032
87,09/11/2016 , 08:45:00,2492,2492
88,09/11/2016 , 09:00:00,2942,2942
89,09/11/2016 , 09:15:00,3522,3522
90,09/11/2016 , 09:30:00,4273,4273
91,09/11/2016 , 09:45:00,4615,4615
92,09/11/2016 , 10:00:00,5045,5045
93,09/11/2016 , 10:15:00,5688,5688
94,09/11/2016 , 10:30:00,6279,6279
95,09/11/2016 , 10:45:00,6794,6794
96,09/11/2016 , 11:00:00,7139,7139
97,09/11/2016 , 11:15:00,7853,7853
98,09/11/2016 , 11:30:00,8447,8447
99,09/11/2016 , 11:45:00,8102,8102
100,09/11/2016 , 12:00:00,6397,6397
101,09/11/2016 , 12:15:00,8696,8696
102,09/11/2016 , 12:30:00,5424,5424
103,09/11/2016 , 12:45:00,7712,7712
104,09/11/2016 , 13:00:00,8224,8224
105,09/11/2016 , 13:15:00,3650,3650
106,09/11/2016 , 13:30:00,3894,3894
107,09/11/2016 , 13:45:00,3735,3735
108,09/11/2016 , 14:00:00,2362,2362
