Site Name ,TANKS
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,6377


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,08/11/2016 , 11:15:00,814,814
2,08/11/2016 , 11:30:00,12576,12576
3,08/11/2016 , 11:45:00,12129,12129
4,08/11/2016 , 12:00:00,14902,14902
5,08/11/2016 , 12:15:00,17104,17104
6,08/11/2016 , 12:30:00,18301,18301
7,08/11/2016 , 12:45:00,7291,7291
8,08/11/2016 , 13:00:00,2530,2530
9,08/11/2016 , 13:15:00,2178,2178
10,08/11/2016 , 13:30:00,3560,3560
11,08/11/2016 , 13:45:00,3118,3118
12,08/11/2016 , 14:00:00,3025,3025
13,08/11/2016 , 14:15:00,2258,2258
14,08/11/2016 , 14:30:00,2049,2049
15,08/11/2016 , 14:45:00,2089,2089
16,08/11/2016 , 15:00:00,5467,5467
17,08/11/2016 , 15:15:00,2014,2014
18,08/11/2016 , 15:30:00,1576,1576
19,08/11/2016 , 15:45:00,1106,1106
20,08/11/2016 , 16:00:00,951,951
21,08/11/2016 , 16:15:00,914,914
22,08/11/2016 , 16:30:00,958,958
23,08/11/2016 , 16:45:00,962,962
24,08/11/2016 , 17:00:00,721,721
25,08/11/2016 , 17:15:00,492,492
26,08/11/2016 , 17:30:00,316,316
27,08/11/2016 , 17:45:00,184,184
28,08/11/2016 , 18:00:00,70,70
29,08/11/2016 , 18:15:00,6,6
30,08/11/2016 , 18:30:00,0,0
31,08/11/2016 , 18:45:00,0,0
32,08/11/2016 , 19:00:00,0,0
33,08/11/2016 , 19:15:00,0,0
34,08/11/2016 , 19:30:00,0,0
35,08/11/2016 , 19:45:00,0,0
36,08/11/2016 , 20:00:00,0,0
37,08/11/2016 , 20:15:00,0,0
38,08/11/2016 , 20:30:00,0,0
39,08/11/2016 , 20:45:00,0,0
40,08/11/2016 , 21:00:00,0,0
41,08/11/2016 , 21:15:00,0,0
42,08/11/2016 , 21:30:00,0,0
43,08/11/2016 , 21:45:00,0,0
44,08/11/2016 , 22:00:00,0,0
45,08/11/2016 , 22:15:00,0,0
46,08/11/2016 , 22:30:00,0,0
47,08/11/2016 , 22:45:00,0,0
48,08/11/2016 , 23:00:00,0,0
49,08/11/2016 , 23:15:00,0,0
50,08/11/2016 , 23:30:00,0,0
51,08/11/2016 , 23:45:00,0,0
52,08/11/2016 , 24:00:00,0,0
53,09/11/2016 , 00:15:00,0,0
54,09/11/2016 , 00:30:00,0,0
55,09/11/2016 , 00:45:00,0,0
56,09/11/2016 , 01:00:00,0,0
57,09/11/2016 , 01:15:00,0,0
58,09/11/2016 , 01:30:00,0,0
59,09/11/2016 , 01:45:00,0,0
60,09/11/2016 , 02:00:00,0,0
61,09/11/2016 , 02:15:00,0,0
62,09/11/2016 , 02:30:00,0,0
63,09/11/2016 , 02:45:00,0,0
64,09/11/2016 , 03:00:00,0,0
65,09/11/2016 , 03:15:00,0,0
66,09/11/2016 , 03:30:00,0,0
67,09/11/2016 , 03:45:00,0,0
68,09/11/2016 , 04:00:00,0,0
69,09/11/2016 , 04:15:00,0,0
70,09/11/2016 , 04:30:00,0,0
71,09/11/2016 , 04:45:00,0,0
72,09/11/2016 , 05:00:00,0,0
73,09/11/2016 , 05:15:00,0,0
74,09/11/2016 , 05:30:00,0,0
75,09/11/2016 , 05:45:00,0,0
76,09/11/2016 , 06:00:00,0,0
77,09/11/2016 , 06:15:00,0,0
78,09/11/2016 , 06:30:00,0,0
79,09/11/2016 , 06:45:00,30,30
80,09/11/2016 , 07:00:00,177,177
81,09/11/2016 , 07:15:00,446,446
82,09/11/2016 , 07:30:00,950,950
83,09/11/2016 , 07:45:00,1537,1537
84,09/11/2016 , 08:00:00,2215,2215
85,09/11/2016 , 08:15:00,2915,2915
86,09/11/2016 , 08:30:00,3675,3675
87,09/11/2016 , 08:45:00,4456,4456
88,09/11/2016 , 09:00:00,5227,5227
89,09/11/2016 , 09:15:00,5996,5996
90,09/11/2016 , 09:30:00,6791,6791
91,09/11/2016 , 09:45:00,7405,7405
92,09/11/2016 , 10:00:00,8068,8068
93,09/11/2016 , 10:15:00,8632,8632
94,09/11/2016 , 10:30:00,9272,9272
95,09/11/2016 , 10:45:00,9692,9692
96,09/11/2016 , 11:00:00,10228,10228
97,09/11/2016 , 11:15:00,10578,10578
98,09/11/2016 , 11:30:00,9275,9275
99,09/11/2016 , 11:45:00,10144,10144
100,09/11/2016 , 12:00:00,8643,8643
101,09/11/2016 , 12:15:00,11641,11641
102,09/11/2016 , 12:30:00,6981,6981
103,09/11/2016 , 12:45:00,9683,9683
104,09/11/2016 , 13:00:00,10305,10305
105,09/11/2016 , 13:15:00,5038,5038
106,09/11/2016 , 13:30:00,5262,5262
107,09/11/2016 , 13:45:00,5194,5194
108,09/11/2016 , 14:00:00,3468,3468
