Site Name ,TANKS
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,6378


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,08/11/2016 , 11:15:00,479,479
2,08/11/2016 , 11:30:00,7635,7635
3,08/11/2016 , 11:45:00,8543,8543
4,08/11/2016 , 12:00:00,10364,10364
5,08/11/2016 , 12:15:00,13441,13441
6,08/11/2016 , 12:30:00,12279,12279
7,08/11/2016 , 12:45:00,2850,2850
8,08/11/2016 , 13:00:00,1943,1943
9,08/11/2016 , 13:15:00,1703,1703
10,08/11/2016 , 13:30:00,2461,2461
11,08/11/2016 , 13:45:00,4744,4744
12,08/11/2016 , 14:00:00,2768,2768
13,08/11/2016 , 14:15:00,2418,2418
14,08/11/2016 , 14:30:00,3309,3309
15,08/11/2016 , 14:45:00,3456,3456
16,08/11/2016 , 15:00:00,2202,2202
17,08/11/2016 , 15:15:00,1925,1925
18,08/11/2016 , 15:30:00,1693,1693
19,08/11/2016 , 15:45:00,1095,1095
20,08/11/2016 , 16:00:00,872,872
21,08/11/2016 , 16:15:00,770,770
22,08/11/2016 , 16:30:00,632,632
23,08/11/2016 , 16:45:00,698,698
24,08/11/2016 , 17:00:00,376,376
25,08/11/2016 , 17:15:00,223,223
26,08/11/2016 , 17:30:00,145,145
27,08/11/2016 , 17:45:00,100,100
28,08/11/2016 , 18:00:00,31,31
29,08/11/2016 , 18:15:00,3,3
30,08/11/2016 , 18:30:00,0,0
31,08/11/2016 , 18:45:00,0,0
32,08/11/2016 , 19:00:00,0,0
33,08/11/2016 , 19:15:00,0,0
34,08/11/2016 , 19:30:00,0,0
35,08/11/2016 , 19:45:00,0,0
36,08/11/2016 , 20:00:00,0,0
37,08/11/2016 , 20:15:00,0,0
38,08/11/2016 , 20:30:00,0,0
39,08/11/2016 , 20:45:00,0,0
40,08/11/2016 , 21:00:00,0,0
41,08/11/2016 , 21:15:00,0,0
42,08/11/2016 , 21:30:00,0,0
43,08/11/2016 , 21:45:00,0,0
44,08/11/2016 , 22:00:00,0,0
45,08/11/2016 , 22:15:00,0,0
46,08/11/2016 , 22:30:00,0,0
47,08/11/2016 , 22:45:00,0,0
48,08/11/2016 , 23:00:00,0,0
49,08/11/2016 , 23:15:00,0,0
50,08/11/2016 , 23:30:00,0,0
51,08/11/2016 , 23:45:00,0,0
52,08/11/2016 , 24:00:00,0,0
53,09/11/2016 , 00:15:00,0,0
54,09/11/2016 , 00:30:00,0,0
55,09/11/2016 , 00:45:00,0,0
56,09/11/2016 , 01:00:00,0,0
57,09/11/2016 , 01:15:00,0,0
58,09/11/2016 , 01:30:00,0,0
59,09/11/2016 , 01:45:00,0,0
60,09/11/2016 , 02:00:00,0,0
61,09/11/2016 , 02:15:00,0,0
62,09/11/2016 , 02:30:00,0,0
63,09/11/2016 , 02:45:00,0,0
64,09/11/2016 , 03:00:00,0,0
65,09/11/2016 , 03:15:00,0,0
66,09/11/2016 , 03:30:00,0,0
67,09/11/2016 , 03:45:00,0,0
68,09/11/2016 , 04:00:00,0,0
69,09/11/2016 , 04:15:00,0,0
70,09/11/2016 , 04:30:00,0,0
71,09/11/2016 , 04:45:00,0,0
72,09/11/2016 , 05:00:00,0,0
73,09/11/2016 , 05:15:00,0,0
74,09/11/2016 , 05:30:00,0,0
75,09/11/2016 , 05:45:00,0,0
76,09/11/2016 , 06:00:00,0,0
77,09/11/2016 , 06:15:00,0,0
78,09/11/2016 , 06:30:00,0,0
79,09/11/2016 , 06:45:00,17,17
80,09/11/2016 , 07:00:00,104,104
81,09/11/2016 , 07:15:00,251,251
82,09/11/2016 , 07:30:00,568,568
83,09/11/2016 , 07:45:00,920,920
84,09/11/2016 , 08:00:00,1328,1328
85,09/11/2016 , 08:15:00,1750,1750
86,09/11/2016 , 08:30:00,2197,2197
87,09/11/2016 , 08:45:00,2599,2599
88,09/11/2016 , 09:00:00,3026,3026
89,09/11/2016 , 09:15:00,3411,3411
90,09/11/2016 , 09:30:00,3797,3797
91,09/11/2016 , 09:45:00,4147,4147
92,09/11/2016 , 10:00:00,4473,4473
93,09/11/2016 , 10:15:00,4780,4780
94,09/11/2016 , 10:30:00,5042,5042
95,09/11/2016 , 10:45:00,5278,5278
96,09/11/2016 , 11:00:00,5496,5496
97,09/11/2016 , 11:15:00,5678,5678
98,09/11/2016 , 11:30:00,5821,5821
99,09/11/2016 , 11:45:00,5649,5649
100,09/11/2016 , 12:00:00,5972,5972
101,09/11/2016 , 12:15:00,6002,6002
102,09/11/2016 , 12:30:00,5675,5675
103,09/11/2016 , 12:45:00,6555,6555
104,09/11/2016 , 13:00:00,5353,5353
105,09/11/2016 , 13:15:00,4377,4377
106,09/11/2016 , 13:30:00,5144,5144
107,09/11/2016 , 13:45:00,3814,3814
108,09/11/2016 , 14:00:00,3035,3035
