Site Name ,A
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,3805


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,08/11/2016 , 11:15:00,1688,1688
2,08/11/2016 , 11:30:00,5929,5929
3,08/11/2016 , 11:45:00,5363,5363
4,08/11/2016 , 12:00:00,6785,6785
5,08/11/2016 , 12:15:00,3610,3610
6,08/11/2016 , 12:30:00,2558,2558
7,08/11/2016 , 12:45:00,2369,2369
8,08/11/2016 , 13:00:00,2493,2493
9,08/11/2016 , 13:15:00,2158,2158
10,08/11/2016 , 13:30:00,3217,3217
11,08/11/2016 , 13:45:00,6644,6644
12,08/11/2016 , 14:00:00,3522,3522
13,08/11/2016 , 14:15:00,3115,3115
14,08/11/2016 , 14:30:00,4594,4594
15,08/11/2016 , 14:45:00,4748,4748
16,08/11/2016 , 15:00:00,2837,2837
17,08/11/2016 , 15:15:00,2537,2537
18,08/11/2016 , 15:30:00,2218,2218
19,08/11/2016 , 15:45:00,1363,1363
20,08/11/2016 , 16:00:00,1065,1065
21,08/11/2016 , 16:15:00,916,916
22,08/11/2016 , 16:30:00,757,757
23,08/11/2016 , 16:45:00,872,872
24,08/11/2016 , 17:00:00,434,434
25,08/11/2016 , 17:15:00,250,250
26,08/11/2016 , 17:30:00,157,157
27,08/11/2016 , 17:45:00,106,106
28,08/11/2016 , 18:00:00,30,30
29,08/11/2016 , 18:15:00,1,1
30,08/11/2016 , 18:30:00,0,0
31,08/11/2016 , 18:45:00,0,0
32,08/11/2016 , 19:00:00,0,0
33,08/11/2016 , 19:15:00,0,0
34,08/11/2016 , 19:30:00,0,0
35,08/11/2016 , 19:45:00,0,0
36,08/11/2016 , 20:00:00,0,0
37,08/11/2016 , 20:15:00,0,0
38,08/11/2016 , 20:30:00,0,0
39,08/11/2016 , 20:45:00,0,0
40,08/11/2016 , 21:00:00,0,0
41,08/11/2016 , 21:15:00,0,0
42,08/11/2016 , 21:30:00,0,0
43,08/11/2016 , 21:45:00,0,0
44,08/11/2016 , 22:00:00,0,0
45,08/11/2016 , 22:15:00,0,0
46,08/11/2016 , 22:30:00,0,0
47,08/11/2016 , 22:45:00,0,0
48,08/11/2016 , 23:00:00,0,0
49,08/11/2016 , 23:15:00,0,0
50,08/11/2016 , 23:30:00,0,0
51,08/11/2016 , 23:45:00,0,0
52,08/11/2016 , 24:00:00,0,0
53,09/11/2016 , 00:15:00,0,0
54,09/11/2016 , 00:30:00,0,0
55,09/11/2016 , 00:45:00,0,0
56,09/11/2016 , 01:00:00,0,0
57,09/11/2016 , 01:15:00,0,0
58,09/11/2016 , 01:30:00,0,0
59,09/11/2016 , 01:45:00,0,0
60,09/11/2016 , 02:00:00,0,0
61,09/11/2016 , 02:15:00,0,0
62,09/11/2016 , 02:30:00,0,0
63,09/11/2016 , 02:45:00,0,0
64,09/11/2016 , 03:00:00,0,0
65,09/11/2016 , 03:15:00,0,0
66,09/11/2016 , 03:30:00,0,0
67,09/11/2016 , 03:45:00,0,0
68,09/11/2016 , 04:00:00,0,0
69,09/11/2016 , 04:15:00,0,0
70,09/11/2016 , 04:30:00,0,0
71,09/11/2016 , 04:45:00,0,0
72,09/11/2016 , 05:00:00,0,0
73,09/11/2016 , 05:15:00,0,0
74,09/11/2016 , 05:30:00,0,0
75,09/11/2016 , 05:45:00,0,0
76,09/11/2016 , 06:00:00,0,0
77,09/11/2016 , 06:15:00,0,0
78,09/11/2016 , 06:30:00,0,0
79,09/11/2016 , 06:45:00,12,12
80,09/11/2016 , 07:00:00,108,108
81,09/11/2016 , 07:15:00,251,251
82,09/11/2016 , 07:30:00,418,418
83,09/11/2016 , 07:45:00,564,564
84,09/11/2016 , 08:00:00,694,694
85,09/11/2016 , 08:15:00,822,822
86,09/11/2016 , 08:30:00,953,953
87,09/11/2016 , 08:45:00,1056,1056
88,09/11/2016 , 09:00:00,1161,1161
89,09/11/2016 , 09:15:00,1276,1276
90,09/11/2016 , 09:30:00,1414,1414
91,09/11/2016 , 09:45:00,1539,1539
92,09/11/2016 , 10:00:00,1709,1709
93,09/11/2016 , 10:15:00,1890,1890
94,09/11/2016 , 10:30:00,2165,2165
95,09/11/2016 , 10:45:00,2534,2534
96,09/11/2016 , 11:00:00,4163,4163
97,09/11/2016 , 11:15:00,6128,6128
98,09/11/2016 , 11:30:00,7275,7275
99,09/11/2016 , 11:45:00,7635,7635
100,09/11/2016 , 12:00:00,8410,8410
101,09/11/2016 , 12:15:00,8633,8633
102,09/11/2016 , 12:30:00,8174,8174
103,09/11/2016 , 12:45:00,9634,9634
104,09/11/2016 , 13:00:00,7759,7759
105,09/11/2016 , 13:15:00,6117,6117
106,09/11/2016 , 13:30:00,7507,7507
107,09/11/2016 , 13:45:00,5215,5215
108,09/11/2016 , 14:00:00,4058,4058
