Plot Title: 10779058,,,,,,,
#,"Date Time, GMT-10:00","Temp, ¡C (LGR S/N: 10779058, SEN S/N: 10779058)",Coupler Detached (LGR S/N: 10779058),Coupler Attached (LGR S/N: 10779058),Host Connected (LGR S/N: 10779058),Stopped (LGR S/N: 10779058),End Of File (LGR S/N: 10779058)
1,11/08/16 11:00:00 AM,26.818,Logged,,,,
2,11/08/16 11:15:00 AM,24.823,,,,,
3,11/08/16 11:30:00 AM,31.433,,,,,
4,11/08/16 11:45:00 AM,34.598,,,,,
5,11/08/16 12:00:00 PM,32.975,,,,,
6,11/08/16 12:15:00 PM,32.536,,,,,
7,11/08/16 12:30:00 PM,30.722,,,,,
8,11/08/16 12:45:00 PM,25.186,,,,,
9,11/08/16 01:00:00 PM,25.137,,,,,
10,11/08/16 01:15:00 PM,25.137,,,,,
11,11/08/16 01:30:00 PM,25.234,,,,,
12,11/08/16 01:45:00 PM,25.355,,,,,
13,11/08/16 02:00:00 PM,25.380,,,,,
14,11/08/16 02:15:00 PM,25.428,,,,,
15,11/08/16 02:30:00 PM,25.550,,,,,
16,11/08/16 02:45:00 PM,25.525,,,,,
17,11/08/16 03:00:00 PM,25.477,,,,,
18,11/08/16 03:15:00 PM,25.525,,,,,
19,11/08/16 03:30:00 PM,25.428,,,,,
20,11/08/16 03:45:00 PM,25.453,,,,,
21,11/08/16 04:00:00 PM,25.477,,,,,
22,11/08/16 04:15:00 PM,25.477,,,,,
23,11/08/16 04:30:00 PM,25.477,,,,,
24,11/08/16 04:45:00 PM,25.453,,,,,
25,11/08/16 05:00:00 PM,25.477,,,,,
26,11/08/16 05:15:00 PM,25.453,,,,,
27,11/08/16 05:30:00 PM,25.453,,,,,
28,11/08/16 05:45:00 PM,25.550,,,,,
29,11/08/16 06:00:00 PM,25.501,,,,,
30,11/08/16 06:15:00 PM,25.477,,,,,
31,11/08/16 06:30:00 PM,25.428,,,,,
32,11/08/16 06:45:00 PM,25.380,,,,,
33,11/08/16 07:00:00 PM,25.355,,,,,
34,11/08/16 07:15:00 PM,25.477,,,,,
35,11/08/16 07:30:00 PM,25.550,,,,,
36,11/08/16 07:45:00 PM,25.550,,,,,
37,11/08/16 08:00:00 PM,25.525,,,,,
38,11/08/16 08:15:00 PM,25.501,,,,,
39,11/08/16 08:30:00 PM,25.307,,,,,
40,11/08/16 08:45:00 PM,25.258,,,,,
41,11/08/16 09:00:00 PM,25.210,,,,,
42,11/08/16 09:15:00 PM,25.210,,,,,
43,11/08/16 09:30:00 PM,25.234,,,,,
44,11/08/16 09:45:00 PM,25.234,,,,,
45,11/08/16 10:00:00 PM,25.234,,,,,
46,11/08/16 10:15:00 PM,25.234,,,,,
47,11/08/16 10:30:00 PM,25.234,,,,,
48,11/08/16 10:45:00 PM,25.234,,,,,
49,11/08/16 11:00:00 PM,25.258,,,,,
50,11/08/16 11:15:00 PM,25.258,,,,,
51,11/08/16 11:30:00 PM,25.283,,,,,
52,11/08/16 11:45:00 PM,25.355,,,,,
53,11/09/16 12:00:00 AM,25.428,,,,,
54,11/09/16 12:15:00 AM,25.380,,,,,
55,11/09/16 12:30:00 AM,25.283,,,,,
56,11/09/16 12:45:00 AM,25.428,,,,,
57,11/09/16 01:00:00 AM,25.331,,,,,
58,11/09/16 01:15:00 AM,25.404,,,,,
59,11/09/16 01:30:00 AM,25.453,,,,,
60,11/09/16 01:45:00 AM,25.380,,,,,
61,11/09/16 02:00:00 AM,25.404,,,,,
62,11/09/16 02:15:00 AM,25.428,,,,,
63,11/09/16 02:30:00 AM,25.307,,,,,
64,11/09/16 02:45:00 AM,25.258,,,,,
65,11/09/16 03:00:00 AM,25.234,,,,,
66,11/09/16 03:15:00 AM,25.210,,,,,
67,11/09/16 03:30:00 AM,25.210,,,,,
68,11/09/16 03:45:00 AM,25.210,,,,,
69,11/09/16 04:00:00 AM,25.186,,,,,
70,11/09/16 04:15:00 AM,25.186,,,,,
71,11/09/16 04:30:00 AM,25.258,,,,,
72,11/09/16 04:45:00 AM,25.283,,,,,
73,11/09/16 05:00:00 AM,25.258,,,,,
74,11/09/16 05:15:00 AM,25.258,,,,,
75,11/09/16 05:30:00 AM,25.307,,,,,
76,11/09/16 05:45:00 AM,25.331,,,,,
77,11/09/16 06:00:00 AM,25.331,,,,,
78,11/09/16 06:15:00 AM,25.331,,,,,
79,11/09/16 06:30:00 AM,25.258,,,,,
80,11/09/16 06:45:00 AM,25.283,,,,,
81,11/09/16 07:00:00 AM,25.283,,,,,
82,11/09/16 07:15:00 AM,25.380,,,,,
83,11/09/16 07:30:00 AM,25.428,,,,,
84,11/09/16 07:45:00 AM,25.453,,,,,
85,11/09/16 08:00:00 AM,25.501,,,,,
86,11/09/16 08:15:00 AM,25.525,,,,,
87,11/09/16 08:30:00 AM,25.550,,,,,
88,11/09/16 08:45:00 AM,25.574,,,,,
89,11/09/16 09:00:00 AM,25.623,,,,,
90,11/09/16 09:15:00 AM,25.671,,,,,
91,11/09/16 09:30:00 AM,25.671,,,,,
92,11/09/16 09:45:00 AM,25.671,,,,,
93,11/09/16 10:00:00 AM,25.695,,,,,
94,11/09/16 10:15:00 AM,25.744,,,,,
95,11/09/16 10:30:00 AM,25.793,,,,,
96,11/09/16 10:45:00 AM,25.914,,,,,
97,11/09/16 11:00:00 AM,25.890,,,,,
98,11/09/16 11:15:00 AM,25.987,,,,,
99,11/09/16 11:30:00 AM,26.182,,,,,
100,11/09/16 11:45:00 AM,26.426,,,,,
101,11/09/16 12:00:00 PM,26.524,,,,,
102,11/09/16 12:15:00 PM,26.622,,,,,
103,11/09/16 12:30:00 PM,26.695,,,,,
104,11/09/16 12:45:00 PM,26.867,,,,,
105,11/09/16 01:00:00 PM,26.867,,,,,
106,11/09/16 01:15:00 PM,26.842,,,,,
107,11/09/16 01:30:00 PM,26.916,,,,,
108,11/09/16 01:45:00 PM,26.989,,,,,
109,11/09/16 02:00:00 PM,26.891,,,,,
110,11/09/16 02:15:00 PM,27.038,,,,,
111,11/09/16 02:30:00 PM,27.112,,,,,
112,11/09/16 02:45:00 PM,27.112,,,,,
113,11/09/16 03:00:00 PM,27.112,,,,,
114,11/09/16 03:15:00 PM,27.210,,,,,
115,11/09/16 03:30:00 PM,26.646,,,,,
116,11/09/16 03:45:00 PM,26.818,,,,,
117,11/09/16 04:00:00 PM,27.210,,,,,
118,11/09/16 04:15:00 PM,27.210,,,,,
119,11/09/16 04:30:00 PM,27.210,,,,,
120,11/09/16 04:45:00 PM,26.891,,,,,
121,11/09/16 05:00:00 PM,26.891,,,,,
122,11/09/16 05:15:00 PM,26.744,,,,,
123,11/09/16 05:30:00 PM,26.549,,,,,
124,11/09/16 05:45:00 PM,26.426,,,,,
125,11/09/16 06:00:00 PM,26.500,,,,,
126,11/09/16 06:15:00 PM,26.500,,,,,
127,11/09/16 06:30:00 PM,26.378,,,,,
128,11/09/16 06:45:00 PM,26.353,,,,,
129,11/09/16 07:00:00 PM,26.231,,,,,
130,11/09/16 07:15:00 PM,26.158,,,,,
131,11/09/16 07:30:00 PM,26.134,,,,,
132,11/09/16 07:45:00 PM,26.085,,,,,
133,11/09/16 08:00:00 PM,26.061,,,,,
134,11/09/16 08:15:00 PM,26.085,,,,,
135,11/09/16 08:30:00 PM,26.085,,,,,
136,11/09/16 08:45:00 PM,26.109,,,,,
137,11/09/16 09:00:00 PM,26.158,,,,,
138,11/09/16 09:15:00 PM,26.182,,,,,
139,11/09/16 09:30:00 PM,26.182,,,,,
140,11/09/16 09:45:00 PM,26.134,,,,,
141,11/09/16 10:00:00 PM,26.134,,,,,
142,11/09/16 10:15:00 PM,26.109,,,,,
143,11/09/16 10:30:00 PM,26.109,,,,,
144,11/09/16 10:45:00 PM,26.109,,,,,
145,11/09/16 11:00:00 PM,26.085,,,,,
146,11/09/16 11:15:00 PM,26.109,,,,,
147,11/09/16 11:30:00 PM,26.109,,,,,
148,11/09/16 11:45:00 PM,26.085,,,,,
149,11/10/16 12:00:00 AM,26.109,,,,,
150,11/10/16 12:15:00 AM,26.085,,,,,
151,11/10/16 12:30:00 AM,26.109,,,,,
152,11/10/16 12:45:00 AM,26.085,,,,,
153,11/10/16 01:00:00 AM,26.061,,,,,
154,11/10/16 01:15:00 AM,26.061,,,,,
155,11/10/16 01:30:00 AM,26.036,,,,,
156,11/10/16 01:45:00 AM,26.012,,,,,
157,11/10/16 02:00:00 AM,26.012,,,,,
158,11/10/16 02:15:00 AM,26.012,,,,,
159,11/10/16 02:30:00 AM,26.012,,,,,
160,11/10/16 02:45:00 AM,26.036,,,,,
161,11/10/16 03:00:00 AM,26.036,,,,,
162,11/10/16 03:15:00 AM,26.036,,,,,
163,11/10/16 03:30:00 AM,26.012,,,,,
164,11/10/16 03:45:00 AM,26.012,,,,,
165,11/10/16 04:00:00 AM,26.012,,,,,
166,11/10/16 04:15:00 AM,25.987,,,,,
167,11/10/16 04:30:00 AM,25.987,,,,,
168,11/10/16 04:45:00 AM,25.987,,,,,
169,11/10/16 05:00:00 AM,25.963,,,,,
170,11/10/16 05:15:00 AM,25.939,,,,,
171,11/10/16 05:30:00 AM,25.939,,,,,
172,11/10/16 05:45:00 AM,25.914,,,,,
173,11/10/16 06:00:00 AM,25.890,,,,,
174,11/10/16 06:15:00 AM,25.841,,,,,
175,11/10/16 06:30:00 AM,25.841,,,,,
176,11/10/16 06:45:00 AM,25.841,,,,,
177,11/10/16 07:00:00 AM,25.817,,,,,
178,11/10/16 07:15:00 AM,25.793,,,,,
179,11/10/16 07:30:00 AM,25.768,,,,,
180,11/10/16 07:45:00 AM,25.768,,,,,
181,11/10/16 08:00:00 AM,25.817,,,,,
182,11/10/16 08:15:00 AM,25.866,,,,,
183,11/10/16 08:30:00 AM,25.914,,,,,
184,11/10/16 08:45:00 AM,25.987,,,,,
185,11/10/16 09:00:00 AM,26.036,,,,,
186,11/10/16 09:15:00 AM,26.085,,,,,
187,11/10/16 09:30:00 AM,26.134,,,,,
188,11/10/16 09:45:00 AM,26.158,,,,,
189,11/10/16 10:00:00 AM,26.158,,,,,
190,11/10/16 10:15:00 AM,26.280,,,,,
191,11/10/16 10:30:00 AM,26.353,,,,,
192,11/10/16 10:45:00 AM,26.426,,,,,
193,11/10/16 11:00:00 AM,26.402,,,,,
194,11/10/16 11:15:00 AM,26.451,,,,,
195,11/10/16 11:30:00 AM,26.378,,,,,
196,11/10/16 11:45:00 AM,26.451,,,,,
197,11/10/16 12:00:00 PM,26.549,,,,,
198,11/10/16 12:15:00 PM,26.646,,,,,
199,11/10/16 12:30:00 PM,26.720,,,,,
200,11/10/16 12:45:00 PM,26.695,,,,,
201,11/10/16 01:00:00 PM,26.744,,,,,
