Site Name ,RRW3
Site Number ,22
Logger ,Integrating Light Sensor
Logger Serial Number ,4322


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,03/10/2016 , 11:15:00,34,34
2,03/10/2016 , 11:30:00,44,44
3,03/10/2016 , 11:45:00,2765,2765
4,03/10/2016 , 12:00:00,1886,1886
5,03/10/2016 , 12:15:00,2516,2516
6,03/10/2016 , 12:30:00,7358,7358
7,03/10/2016 , 12:45:00,7215,7215
8,03/10/2016 , 13:00:00,7119,7119
9,03/10/2016 , 13:15:00,4209,4209
10,03/10/2016 , 13:30:00,3640,3640
11,03/10/2016 , 13:45:00,3744,3744
12,03/10/2016 , 14:00:00,3705,3705
13,03/10/2016 , 14:15:00,2572,2572
14,03/10/2016 , 14:30:00,1606,1606
15,03/10/2016 , 14:45:00,806,806
16,03/10/2016 , 15:00:00,1030,1030
17,03/10/2016 , 15:15:00,802,802
18,03/10/2016 , 15:30:00,847,847
19,03/10/2016 , 15:45:00,929,929
20,03/10/2016 , 16:00:00,702,702
21,03/10/2016 , 16:15:00,526,526
22,03/10/2016 , 16:30:00,370,370
23,03/10/2016 , 16:45:00,440,440
24,03/10/2016 , 17:00:00,449,449
25,03/10/2016 , 17:15:00,403,403
26,03/10/2016 , 17:30:00,231,231
27,03/10/2016 , 17:45:00,128,128
28,03/10/2016 , 18:00:00,89,89
29,03/10/2016 , 18:15:00,32,32
30,03/10/2016 , 18:30:00,5,5
31,03/10/2016 , 18:45:00,0,0
32,03/10/2016 , 19:00:00,0,0
33,03/10/2016 , 19:15:00,0,0
34,03/10/2016 , 19:30:00,0,0
35,03/10/2016 , 19:45:00,0,0
36,03/10/2016 , 20:00:00,0,0
37,03/10/2016 , 20:15:00,0,0
38,03/10/2016 , 20:30:00,0,0
39,03/10/2016 , 20:45:00,0,0
40,03/10/2016 , 21:00:00,0,0
41,03/10/2016 , 21:15:00,0,0
42,03/10/2016 , 21:30:00,0,0
43,03/10/2016 , 21:45:00,0,0
44,03/10/2016 , 22:00:00,0,0
45,03/10/2016 , 22:15:00,0,0
46,03/10/2016 , 22:30:00,0,0
47,03/10/2016 , 22:45:00,0,0
48,03/10/2016 , 23:00:00,0,0
49,03/10/2016 , 23:15:00,0,0
50,03/10/2016 , 23:30:00,0,0
51,03/10/2016 , 23:45:00,0,0
52,03/10/2016 , 24:00:00,0,0
53,04/10/2016 , 00:15:00,0,0
54,04/10/2016 , 00:30:00,0,0
55,04/10/2016 , 00:45:00,0,0
56,04/10/2016 , 01:00:00,0,0
57,04/10/2016 , 01:15:00,0,0
58,04/10/2016 , 01:30:00,0,0
59,04/10/2016 , 01:45:00,0,0
60,04/10/2016 , 02:00:00,0,0
61,04/10/2016 , 02:15:00,0,0
62,04/10/2016 , 02:30:00,0,0
63,04/10/2016 , 02:45:00,0,0
64,04/10/2016 , 03:00:00,0,0
65,04/10/2016 , 03:15:00,0,0
66,04/10/2016 , 03:30:00,0,0
67,04/10/2016 , 03:45:00,0,0
68,04/10/2016 , 04:00:00,0,0
69,04/10/2016 , 04:15:00,0,0
70,04/10/2016 , 04:30:00,0,0
71,04/10/2016 , 04:45:00,0,0
72,04/10/2016 , 05:00:00,0,0
73,04/10/2016 , 05:15:00,0,0
74,04/10/2016 , 05:30:00,0,0
75,04/10/2016 , 05:45:00,0,0
76,04/10/2016 , 06:00:00,0,0
77,04/10/2016 , 06:15:00,0,0
78,04/10/2016 , 06:30:00,0,0
79,04/10/2016 , 06:45:00,20,20
80,04/10/2016 , 07:00:00,61,61
81,04/10/2016 , 07:15:00,207,207
82,04/10/2016 , 07:30:00,376,376
83,04/10/2016 , 07:45:00,266,266
84,04/10/2016 , 08:00:00,545,545
85,04/10/2016 , 08:15:00,650,650
86,04/10/2016 , 08:30:00,975,975
87,04/10/2016 , 08:45:00,1025,1025
88,04/10/2016 , 09:00:00,1268,1268
89,04/10/2016 , 09:15:00,1248,1248
90,04/10/2016 , 09:30:00,1761,1761
91,04/10/2016 , 09:45:00,2729,2729
92,04/10/2016 , 10:00:00,3310,3310
93,04/10/2016 , 10:15:00,3787,3787
94,04/10/2016 , 10:30:00,4667,4667
95,04/10/2016 , 10:45:00,4554,4554
96,04/10/2016 , 11:00:00,6128,6128
97,04/10/2016 , 11:15:00,8103,8103
98,04/10/2016 , 11:30:00,7105,7105
99,04/10/2016 , 11:45:00,3003,3003
100,04/10/2016 , 12:00:00,5014,5014
101,04/10/2016 , 12:15:00,6364,6364
102,04/10/2016 , 12:30:00,6842,6842
103,04/10/2016 , 12:45:00,7483,7483
104,04/10/2016 , 13:00:00,7001,7001
105,04/10/2016 , 13:15:00,5942,5942
106,04/10/2016 , 13:30:00,4130,4130
107,04/10/2016 , 13:45:00,4625,4625
108,04/10/2016 , 14:00:00,3606,3606
109,04/10/2016 , 14:15:00,1856,1856
