Site Name ,KBAY
Site Number ,2
Logger ,Integrating Light Sensor
Logger Serial Number ,4804


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,07/10/2016 , 11:15:00,1220,1220
2,07/10/2016 , 11:30:00,15639,15639
3,07/10/2016 , 11:45:00,57065,57065
4,07/10/2016 , 12:00:00,64984,64984
5,07/10/2016 , 12:15:00,65454,65454
6,07/10/2016 , 12:30:00,63920,63920
7,07/10/2016 , 12:45:00,56309,56309
8,07/10/2016 , 13:00:00,52113,52113
9,07/10/2016 , 13:15:00,4559,4559
10,07/10/2016 , 13:30:00,4008,4008
11,07/10/2016 , 13:45:00,2322,2322
12,07/10/2016 , 14:00:00,2635,2635
13,07/10/2016 , 14:15:00,3067,3067
14,07/10/2016 , 14:30:00,3073,3073
15,07/10/2016 , 14:45:00,1721,1721
16,07/10/2016 , 15:00:00,1739,1739
17,07/10/2016 , 15:15:00,1715,1715
18,07/10/2016 , 15:30:00,1424,1424
19,07/10/2016 , 15:45:00,1834,1834
20,07/10/2016 , 16:00:00,1543,1543
21,07/10/2016 , 16:15:00,1610,1610
22,07/10/2016 , 16:30:00,998,998
23,07/10/2016 , 16:45:00,904,904
24,07/10/2016 , 17:00:00,734,734
25,07/10/2016 , 17:15:00,529,529
26,07/10/2016 , 17:30:00,322,322
27,07/10/2016 , 17:45:00,201,201
28,07/10/2016 , 18:00:00,132,132
29,07/10/2016 , 18:15:00,39,39
30,07/10/2016 , 18:30:00,4,4
31,07/10/2016 , 18:45:00,0,0
32,07/10/2016 , 19:00:00,0,0
33,07/10/2016 , 19:15:00,0,0
34,07/10/2016 , 19:30:00,0,0
35,07/10/2016 , 19:45:00,0,0
36,07/10/2016 , 20:00:00,0,0
37,07/10/2016 , 20:15:00,0,0
38,07/10/2016 , 20:30:00,0,0
39,07/10/2016 , 20:45:00,0,0
40,07/10/2016 , 21:00:00,0,0
41,07/10/2016 , 21:15:00,0,0
42,07/10/2016 , 21:30:00,0,0
43,07/10/2016 , 21:45:00,0,0
44,07/10/2016 , 22:00:00,0,0
45,07/10/2016 , 22:15:00,0,0
46,07/10/2016 , 22:30:00,0,0
47,07/10/2016 , 22:45:00,0,0
48,07/10/2016 , 23:00:00,0,0
49,07/10/2016 , 23:15:00,0,0
50,07/10/2016 , 23:30:00,0,0
51,07/10/2016 , 23:45:00,0,0
52,07/10/2016 , 24:00:00,0,0
53,08/10/2016 , 00:15:00,0,0
54,08/10/2016 , 00:30:00,0,0
55,08/10/2016 , 00:45:00,0,0
56,08/10/2016 , 01:00:00,0,0
57,08/10/2016 , 01:15:00,0,0
58,08/10/2016 , 01:30:00,0,0
59,08/10/2016 , 01:45:00,0,0
60,08/10/2016 , 02:00:00,0,0
61,08/10/2016 , 02:15:00,0,0
62,08/10/2016 , 02:30:00,0,0
63,08/10/2016 , 02:45:00,0,0
64,08/10/2016 , 03:00:00,0,0
65,08/10/2016 , 03:15:00,0,0
66,08/10/2016 , 03:30:00,0,0
67,08/10/2016 , 03:45:00,0,0
68,08/10/2016 , 04:00:00,0,0
69,08/10/2016 , 04:15:00,0,0
70,08/10/2016 , 04:30:00,0,0
71,08/10/2016 , 04:45:00,0,0
72,08/10/2016 , 05:00:00,0,0
73,08/10/2016 , 05:15:00,0,0
74,08/10/2016 , 05:30:00,0,0
75,08/10/2016 , 05:45:00,0,0
76,08/10/2016 , 06:00:00,0,0
77,08/10/2016 , 06:15:00,0,0
78,08/10/2016 , 06:30:00,3,3
79,08/10/2016 , 06:45:00,44,44
80,08/10/2016 , 07:00:00,109,109
81,08/10/2016 , 07:15:00,267,267
82,08/10/2016 , 07:30:00,491,491
83,08/10/2016 , 07:45:00,466,466
84,08/10/2016 , 08:00:00,876,876
85,08/10/2016 , 08:15:00,1238,1238
86,08/10/2016 , 08:30:00,1376,1376
87,08/10/2016 , 08:45:00,1866,1866
88,08/10/2016 , 09:00:00,2235,2235
89,08/10/2016 , 09:15:00,2663,2663
90,08/10/2016 , 09:30:00,1865,1865
91,08/10/2016 , 09:45:00,3349,3349
92,08/10/2016 , 10:00:00,3942,3942
93,08/10/2016 , 10:15:00,4270,4270
94,08/10/2016 , 10:30:00,4658,4658
95,08/10/2016 , 10:45:00,5010,5010
96,08/10/2016 , 11:00:00,5211,5211
97,08/10/2016 , 11:15:00,4292,4292
98,08/10/2016 , 11:30:00,3607,3607
99,08/10/2016 , 11:45:00,5400,5400
100,08/10/2016 , 12:00:00,6470,6470
101,08/10/2016 , 12:15:00,5465,5465
102,08/10/2016 , 12:30:00,2901,2901
103,08/10/2016 , 12:45:00,1372,1372
104,08/10/2016 , 13:00:00,1432,1432
105,08/10/2016 , 13:15:00,1293,1293
106,08/10/2016 , 13:30:00,1326,1326
107,08/10/2016 , 13:45:00,1829,1829
108,08/10/2016 , 14:00:00,1384,1384
