Site Name ,TANKS
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,4807


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,07/10/2016 , 11:15:00,2490,2490
2,07/10/2016 , 11:30:00,24048,24048
3,07/10/2016 , 11:45:00,65535,65535
4,07/10/2016 , 12:00:00,65535,65535
5,07/10/2016 , 12:15:00,65535,65535
6,07/10/2016 , 12:30:00,65535,65535
7,07/10/2016 , 12:45:00,65535,65535
8,07/10/2016 , 13:00:00,61147,61147
9,07/10/2016 , 13:15:00,11864,11864
10,07/10/2016 , 13:30:00,27061,27061
11,07/10/2016 , 13:45:00,16922,16922
12,07/10/2016 , 14:00:00,18249,18249
13,07/10/2016 , 14:15:00,21915,21915
14,07/10/2016 , 14:30:00,22953,22953
15,07/10/2016 , 14:45:00,13348,13348
16,07/10/2016 , 15:00:00,13303,13303
17,07/10/2016 , 15:15:00,12136,12136
18,07/10/2016 , 15:30:00,10019,10019
19,07/10/2016 , 15:45:00,12516,12516
20,07/10/2016 , 16:00:00,10775,10775
21,07/10/2016 , 16:15:00,10992,10992
22,07/10/2016 , 16:30:00,6920,6920
23,07/10/2016 , 16:45:00,6248,6248
24,07/10/2016 , 17:00:00,5251,5251
25,07/10/2016 , 17:15:00,3968,3968
26,07/10/2016 , 17:30:00,2550,2550
27,07/10/2016 , 17:45:00,1599,1599
28,07/10/2016 , 18:00:00,1038,1038
29,07/10/2016 , 18:15:00,329,329
30,07/10/2016 , 18:30:00,65,65
31,07/10/2016 , 18:45:00,1,1
32,07/10/2016 , 19:00:00,0,0
33,07/10/2016 , 19:15:00,0,0
34,07/10/2016 , 19:30:00,0,0
35,07/10/2016 , 19:45:00,0,0
36,07/10/2016 , 20:00:00,0,0
37,07/10/2016 , 20:15:00,0,0
38,07/10/2016 , 20:30:00,0,0
39,07/10/2016 , 20:45:00,0,0
40,07/10/2016 , 21:00:00,0,0
41,07/10/2016 , 21:15:00,0,0
42,07/10/2016 , 21:30:00,0,0
43,07/10/2016 , 21:45:00,0,0
44,07/10/2016 , 22:00:00,0,0
45,07/10/2016 , 22:15:00,0,0
46,07/10/2016 , 22:30:00,0,0
47,07/10/2016 , 22:45:00,0,0
48,07/10/2016 , 23:00:00,0,0
49,07/10/2016 , 23:15:00,0,0
50,07/10/2016 , 23:30:00,0,0
51,07/10/2016 , 23:45:00,0,0
52,07/10/2016 , 24:00:00,0,0
53,08/10/2016 , 00:15:00,0,0
54,08/10/2016 , 00:30:00,0,0
55,08/10/2016 , 00:45:00,0,0
56,08/10/2016 , 01:00:00,0,0
57,08/10/2016 , 01:15:00,0,0
58,08/10/2016 , 01:30:00,0,0
59,08/10/2016 , 01:45:00,0,0
60,08/10/2016 , 02:00:00,0,0
61,08/10/2016 , 02:15:00,0,0
62,08/10/2016 , 02:30:00,0,0
63,08/10/2016 , 02:45:00,0,0
64,08/10/2016 , 03:00:00,0,0
65,08/10/2016 , 03:15:00,0,0
66,08/10/2016 , 03:30:00,0,0
67,08/10/2016 , 03:45:00,0,0
68,08/10/2016 , 04:00:00,0,0
69,08/10/2016 , 04:15:00,0,0
70,08/10/2016 , 04:30:00,0,0
71,08/10/2016 , 04:45:00,0,0
72,08/10/2016 , 05:00:00,0,0
73,08/10/2016 , 05:15:00,0,0
74,08/10/2016 , 05:30:00,0,0
75,08/10/2016 , 05:45:00,0,0
76,08/10/2016 , 06:00:00,0,0
77,08/10/2016 , 06:15:00,0,0
78,08/10/2016 , 06:30:00,58,58
79,08/10/2016 , 06:45:00,333,333
80,08/10/2016 , 07:00:00,774,774
81,08/10/2016 , 07:15:00,2302,2302
82,08/10/2016 , 07:30:00,4249,4249
83,08/10/2016 , 07:45:00,3465,3465
84,08/10/2016 , 08:00:00,8306,8306
85,08/10/2016 , 08:15:00,13757,13757
86,08/10/2016 , 08:30:00,15610,15610
87,08/10/2016 , 08:45:00,19175,19175
88,08/10/2016 , 09:00:00,21880,21880
89,08/10/2016 , 09:15:00,25203,25203
90,08/10/2016 , 09:30:00,15788,15788
91,08/10/2016 , 09:45:00,28486,28486
92,08/10/2016 , 10:00:00,33001,33001
93,08/10/2016 , 10:15:00,36094,36094
94,08/10/2016 , 10:30:00,38935,38935
95,08/10/2016 , 10:45:00,41112,41112
96,08/10/2016 , 11:00:00,41093,41093
97,08/10/2016 , 11:15:00,32366,32366
98,08/10/2016 , 11:30:00,26851,26851
99,08/10/2016 , 11:45:00,39187,39187
100,08/10/2016 , 12:00:00,44922,44922
101,08/10/2016 , 12:15:00,37952,37952
102,08/10/2016 , 12:30:00,20331,20331
103,08/10/2016 , 12:45:00,10166,10166
104,08/10/2016 , 13:00:00,10446,10446
105,08/10/2016 , 13:15:00,9323,9323
106,08/10/2016 , 13:30:00,9583,9583
107,08/10/2016 , 13:45:00,12563,12563
