Plot Title: 10487930,,,,,,,
#,"Date Time, GMT-10:00","Temp, ¡C (LGR S/N: 10487930, SEN S/N: 10487930)",Coupler Detached (LGR S/N: 10487930),Coupler Attached (LGR S/N: 10487930),Host Connected (LGR S/N: 10487930),Stopped (LGR S/N: 10487930),End Of File (LGR S/N: 10487930)
1,10/07/16 10:00:00 AM,25.355,Logged,,,,
2,10/07/16 10:15:00 AM,25.307,,,,,
3,10/07/16 10:30:00 AM,28.245,,,,,
4,10/07/16 10:45:00 AM,28.196,,,,,
5,10/07/16 11:00:00 AM,28.097,,,,,
6,10/07/16 11:15:00 AM,29.815,,,,,
7,10/07/16 11:30:00 AM,29.590,,,,,
8,10/07/16 11:45:00 AM,30.976,,,,,
9,10/07/16 12:00:00 PM,29.916,,,,,
10,10/07/16 12:15:00 PM,29.815,,,,,
11,10/07/16 12:30:00 PM,29.991,,,,,
12,10/07/16 12:45:00 PM,27.604,,,,,
13,10/07/16 01:00:00 PM,27.727,,,,,
14,10/07/16 01:15:00 PM,27.653,,,,,
15,10/07/16 01:30:00 PM,27.530,,,,,
16,10/07/16 01:45:00 PM,27.530,,,,,
17,10/07/16 02:00:00 PM,27.554,,,,,
18,10/07/16 02:15:00 PM,27.481,,,,,
19,10/07/16 02:30:00 PM,27.407,,,,,
20,10/07/16 02:45:00 PM,27.333,,,,,
21,10/07/16 03:00:00 PM,27.333,,,,,
22,10/07/16 03:15:00 PM,27.235,,,,,
23,10/07/16 03:30:00 PM,27.161,,,,,
24,10/07/16 03:45:00 PM,26.940,,,,,
25,10/07/16 04:00:00 PM,26.940,,,,,
26,10/07/16 04:15:00 PM,26.916,,,,,
27,10/07/16 04:30:00 PM,26.842,,,,,
28,10/07/16 04:45:00 PM,26.818,,,,,
29,10/07/16 05:00:00 PM,26.793,,,,,
30,10/07/16 05:15:00 PM,26.769,,,,,
31,10/07/16 05:30:00 PM,26.720,,,,,
32,10/07/16 05:45:00 PM,26.695,,,,,
33,10/07/16 06:00:00 PM,26.671,,,,,
34,10/07/16 06:15:00 PM,26.646,,,,,
35,10/07/16 06:30:00 PM,26.671,,,,,
36,10/07/16 06:45:00 PM,26.598,,,,,
37,10/07/16 07:00:00 PM,26.622,,,,,
38,10/07/16 07:15:00 PM,26.695,,,,,
39,10/07/16 07:30:00 PM,26.622,,,,,
40,10/07/16 07:45:00 PM,26.622,,,,,
41,10/07/16 08:00:00 PM,26.671,,,,,
42,10/07/16 08:15:00 PM,26.646,,,,,
43,10/07/16 08:30:00 PM,26.524,,,,,
44,10/07/16 08:45:00 PM,26.622,,,,,
45,10/07/16 09:00:00 PM,26.500,,,,,
46,10/07/16 09:15:00 PM,26.426,,,,,
47,10/07/16 09:30:00 PM,26.402,,,,,
48,10/07/16 09:45:00 PM,26.329,,,,,
49,10/07/16 10:00:00 PM,26.329,,,,,
50,10/07/16 10:15:00 PM,26.353,,,,,
51,10/07/16 10:30:00 PM,26.426,,,,,
52,10/07/16 10:45:00 PM,26.378,,,,,
53,10/07/16 11:00:00 PM,26.329,,,,,
54,10/07/16 11:15:00 PM,26.402,,,,,
55,10/07/16 11:30:00 PM,26.500,,,,,
56,10/07/16 11:45:00 PM,26.256,,,,,
57,10/08/16 12:00:00 AM,26.182,,,,,
58,10/08/16 12:15:00 AM,26.158,,,,,
59,10/08/16 12:30:00 AM,26.231,,,,,
60,10/08/16 12:45:00 AM,26.182,,,,,
61,10/08/16 01:00:00 AM,26.256,,,,,
62,10/08/16 01:15:00 AM,26.280,,,,,
63,10/08/16 01:30:00 AM,26.280,,,,,
64,10/08/16 01:45:00 AM,26.207,,,,,
65,10/08/16 02:00:00 AM,25.914,,,,,
66,10/08/16 02:15:00 AM,25.914,,,,,
67,10/08/16 02:30:00 AM,25.939,,,,,
68,10/08/16 02:45:00 AM,25.939,,,,,
69,10/08/16 03:00:00 AM,25.890,,,,,
70,10/08/16 03:15:00 AM,25.841,,,,,
71,10/08/16 03:30:00 AM,25.793,,,,,
72,10/08/16 03:45:00 AM,25.817,,,,,
73,10/08/16 04:00:00 AM,25.841,,,,,
74,10/08/16 04:15:00 AM,25.793,,,,,
75,10/08/16 04:30:00 AM,25.866,,,,,
76,10/08/16 04:45:00 AM,25.866,,,,,
77,10/08/16 05:00:00 AM,25.939,,,,,
78,10/08/16 05:15:00 AM,25.963,,,,,
79,10/08/16 05:30:00 AM,25.963,,,,,
80,10/08/16 05:45:00 AM,25.914,,,,,
81,10/08/16 06:00:00 AM,25.939,,,,,
82,10/08/16 06:15:00 AM,26.036,,,,,
83,10/08/16 06:30:00 AM,26.109,,,,,
84,10/08/16 06:45:00 AM,26.012,,,,,
85,10/08/16 07:00:00 AM,25.939,,,,,
86,10/08/16 07:15:00 AM,26.134,,,,,
87,10/08/16 07:30:00 AM,26.158,,,,,
88,10/08/16 07:45:00 AM,25.987,,,,,
89,10/08/16 08:00:00 AM,26.207,,,,,
90,10/08/16 08:15:00 AM,26.158,,,,,
91,10/08/16 08:30:00 AM,26.231,,,,,
92,10/08/16 08:45:00 AM,26.451,,,,,
93,10/08/16 09:00:00 AM,26.475,,,,,
94,10/08/16 09:15:00 AM,26.598,,,,,
95,10/08/16 09:30:00 AM,26.549,,,,,
96,10/08/16 09:45:00 AM,26.573,,,,,
97,10/08/16 10:00:00 AM,26.744,,,,,
98,10/08/16 10:15:00 AM,26.598,,,,,
99,10/08/16 10:30:00 AM,26.646,,,,,
100,10/08/16 10:45:00 AM,26.744,,,,,
101,10/08/16 11:00:00 AM,26.744,,,,,
102,10/08/16 11:15:00 AM,26.842,,,,,
103,10/08/16 11:30:00 AM,26.842,,,,,
104,10/08/16 11:45:00 AM,26.842,,,,,
105,10/08/16 12:00:00 PM,26.867,,,,,
106,10/08/16 12:15:00 PM,26.793,,,,,
107,10/08/16 12:30:00 PM,26.842,,,,,
108,10/08/16 12:45:00 PM,26.940,,,,,
109,10/08/16 01:00:00 PM,27.038,,,,,
110,10/08/16 01:15:00 PM,27.210,,,,,
111,10/08/16 01:30:00 PM,27.481,,,,,
112,10/08/16 01:45:00 PM,27.382,,,,,
113,10/08/16 02:00:00 PM,27.284,,,,,
114,10/08/16 02:15:00 PM,27.235,,,,,
115,10/08/16 02:30:00 PM,27.186,,,,,
116,10/08/16 02:45:00 PM,27.358,,,,,
117,10/08/16 03:00:00 PM,27.554,,,,,
118,10/08/16 03:15:00 PM,27.727,,,,,
119,10/08/16 03:30:00 PM,27.579,,,,,
120,10/08/16 03:45:00 PM,27.554,,,,,
121,10/08/16 04:00:00 PM,27.505,,,,,
122,10/08/16 04:15:00 PM,27.481,,,,,
123,10/08/16 04:30:00 PM,27.407,,,,,
124,10/08/16 04:45:00 PM,27.407,,,,,
125,10/08/16 05:00:00 PM,27.382,,,,,
126,10/08/16 05:15:00 PM,27.358,,,,,
127,10/08/16 05:30:00 PM,27.284,,,,,
128,10/08/16 05:45:00 PM,27.235,,,,,
129,10/08/16 06:00:00 PM,27.186,,,,,
130,10/08/16 06:15:00 PM,27.186,,,,,
131,10/08/16 06:30:00 PM,27.161,,,,,
132,10/08/16 06:45:00 PM,26.989,,,,,
133,10/08/16 07:00:00 PM,26.891,,,,,
134,10/08/16 07:15:00 PM,26.940,,,,,
135,10/08/16 07:30:00 PM,26.793,,,,,
136,10/08/16 07:45:00 PM,26.769,,,,,
137,10/08/16 08:00:00 PM,26.695,,,,,
138,10/08/16 08:15:00 PM,26.549,,,,,
139,10/08/16 08:30:00 PM,26.500,,,,,
140,10/08/16 08:45:00 PM,26.451,,,,,
141,10/08/16 09:00:00 PM,26.353,,,,,
142,10/08/16 09:15:00 PM,26.353,,,,,
143,10/08/16 09:30:00 PM,26.304,,,,,
144,10/08/16 09:45:00 PM,26.304,,,,,
145,10/08/16 10:00:00 PM,26.280,,,,,
146,10/08/16 10:15:00 PM,26.207,,,,,
147,10/08/16 10:30:00 PM,26.207,,,,,
148,10/08/16 10:45:00 PM,26.109,,,,,
149,10/08/16 11:00:00 PM,26.085,,,,,
150,10/08/16 11:15:00 PM,25.939,,,,,
151,10/08/16 11:30:00 PM,25.914,,,,,
152,10/08/16 11:45:00 PM,25.817,,,,,
153,10/09/16 12:00:00 AM,25.817,,,,,
154,10/09/16 12:15:00 AM,25.768,,,,,
155,10/09/16 12:30:00 AM,25.720,,,,,
156,10/09/16 12:45:00 AM,25.695,,,,,
157,10/09/16 01:00:00 AM,25.768,,,,,
158,10/09/16 01:15:00 AM,25.720,,,,,
159,10/09/16 01:30:00 AM,25.695,,,,,
160,10/09/16 01:45:00 AM,25.671,,,,,
161,10/09/16 02:00:00 AM,25.623,,,,,
