Plot Title: 10779068,,,,,,,
#,"Date Time, GMT-10:00","Temp, ¡C (LGR S/N: 10779068, SEN S/N: 10779068)",Coupler Detached (LGR S/N: 10779068),Coupler Attached (LGR S/N: 10779068),Host Connected (LGR S/N: 10779068),Stopped (LGR S/N: 10779068),End Of File (LGR S/N: 10779068)
1,10/07/16 10:00:00 AM,25.404,Logged,,,,
2,10/07/16 10:15:00 AM,25.307,,,,,
3,10/07/16 10:30:00 AM,28.444,,,,,
4,10/07/16 10:45:00 AM,27.850,,,,,
5,10/07/16 11:00:00 AM,28.419,,,,,
6,10/07/16 11:15:00 AM,31.331,,,,,
7,10/07/16 11:30:00 AM,32.898,,,,,
8,10/07/16 11:45:00 AM,33.861,,,,,
9,10/07/16 12:00:00 PM,32.949,,,,,
10,10/07/16 12:15:00 PM,27.382,,,,,
11,10/07/16 12:30:00 PM,27.358,,,,,
12,10/07/16 12:45:00 PM,27.308,,,,,
13,10/07/16 01:00:00 PM,27.333,,,,,
14,10/07/16 01:15:00 PM,27.358,,,,,
15,10/07/16 01:30:00 PM,27.333,,,,,
16,10/07/16 01:45:00 PM,27.308,,,,,
17,10/07/16 02:00:00 PM,27.259,,,,,
18,10/07/16 02:15:00 PM,27.308,,,,,
19,10/07/16 02:30:00 PM,27.308,,,,,
20,10/07/16 02:45:00 PM,27.308,,,,,
21,10/07/16 03:00:00 PM,27.308,,,,,
22,10/07/16 03:15:00 PM,27.259,,,,,
23,10/07/16 03:30:00 PM,27.235,,,,,
24,10/07/16 03:45:00 PM,27.210,,,,,
25,10/07/16 04:00:00 PM,27.210,,,,,
26,10/07/16 04:15:00 PM,27.210,,,,,
27,10/07/16 04:30:00 PM,27.235,,,,,
28,10/07/16 04:45:00 PM,27.235,,,,,
29,10/07/16 05:00:00 PM,27.210,,,,,
30,10/07/16 05:15:00 PM,27.161,,,,,
31,10/07/16 05:30:00 PM,27.112,,,,,
32,10/07/16 05:45:00 PM,27.087,,,,,
33,10/07/16 06:00:00 PM,27.038,,,,,
34,10/07/16 06:15:00 PM,26.989,,,,,
35,10/07/16 06:30:00 PM,26.940,,,,,
36,10/07/16 06:45:00 PM,26.940,,,,,
37,10/07/16 07:00:00 PM,26.965,,,,,
38,10/07/16 07:15:00 PM,27.087,,,,,
39,10/07/16 07:30:00 PM,27.136,,,,,
40,10/07/16 07:45:00 PM,27.112,,,,,
41,10/07/16 08:00:00 PM,27.063,,,,,
42,10/07/16 08:15:00 PM,27.038,,,,,
43,10/07/16 08:30:00 PM,26.965,,,,,
44,10/07/16 08:45:00 PM,26.891,,,,,
45,10/07/16 09:00:00 PM,26.842,,,,,
46,10/07/16 09:15:00 PM,26.818,,,,,
47,10/07/16 09:30:00 PM,26.818,,,,,
48,10/07/16 09:45:00 PM,26.818,,,,,
49,10/07/16 10:00:00 PM,26.793,,,,,
50,10/07/16 10:15:00 PM,26.891,,,,,
51,10/07/16 10:30:00 PM,26.989,,,,,
52,10/07/16 10:45:00 PM,26.867,,,,,
53,10/07/16 11:00:00 PM,26.769,,,,,
54,10/07/16 11:15:00 PM,26.671,,,,,
55,10/07/16 11:30:00 PM,26.573,,,,,
56,10/07/16 11:45:00 PM,26.646,,,,,
57,10/08/16 12:00:00 AM,26.622,,,,,
58,10/08/16 12:15:00 AM,26.598,,,,,
59,10/08/16 12:30:00 AM,26.524,,,,,
60,10/08/16 12:45:00 AM,26.475,,,,,
61,10/08/16 01:00:00 AM,26.451,,,,,
62,10/08/16 01:15:00 AM,26.500,,,,,
63,10/08/16 01:30:00 AM,26.671,,,,,
64,10/08/16 01:45:00 AM,26.598,,,,,
65,10/08/16 02:00:00 AM,26.524,,,,,
66,10/08/16 02:15:00 AM,26.475,,,,,
67,10/08/16 02:30:00 AM,26.524,,,,,
68,10/08/16 02:45:00 AM,26.475,,,,,
69,10/08/16 03:00:00 AM,26.402,,,,,
70,10/08/16 03:15:00 AM,26.378,,,,,
71,10/08/16 03:30:00 AM,26.378,,,,,
72,10/08/16 03:45:00 AM,26.353,,,,,
73,10/08/16 04:00:00 AM,26.353,,,,,
74,10/08/16 04:15:00 AM,26.329,,,,,
75,10/08/16 04:30:00 AM,26.304,,,,,
76,10/08/16 04:45:00 AM,26.402,,,,,
77,10/08/16 05:00:00 AM,26.451,,,,,
78,10/08/16 05:15:00 AM,26.475,,,,,
79,10/08/16 05:30:00 AM,26.524,,,,,
80,10/08/16 05:45:00 AM,26.573,,,,,
81,10/08/16 06:00:00 AM,26.598,,,,,
82,10/08/16 06:15:00 AM,26.549,,,,,
83,10/08/16 06:30:00 AM,26.598,,,,,
84,10/08/16 06:45:00 AM,26.744,,,,,
85,10/08/16 07:00:00 AM,26.793,,,,,
86,10/08/16 07:15:00 AM,26.818,,,,,
87,10/08/16 07:30:00 AM,26.769,,,,,
88,10/08/16 07:45:00 AM,26.793,,,,,
89,10/08/16 08:00:00 AM,26.769,,,,,
90,10/08/16 08:15:00 AM,26.891,,,,,
91,10/08/16 08:30:00 AM,26.965,,,,,
92,10/08/16 08:45:00 AM,27.014,,,,,
93,10/08/16 09:00:00 AM,27.014,,,,,
94,10/08/16 09:15:00 AM,27.087,,,,,
95,10/08/16 09:30:00 AM,27.063,,,,,
96,10/08/16 09:45:00 AM,27.087,,,,,
97,10/08/16 10:00:00 AM,27.063,,,,,
98,10/08/16 10:15:00 AM,27.186,,,,,
99,10/08/16 10:30:00 AM,27.284,,,,,
100,10/08/16 10:45:00 AM,27.259,,,,,
101,10/08/16 11:00:00 AM,27.235,,,,,
102,10/08/16 11:15:00 AM,27.136,,,,,
103,10/08/16 11:30:00 AM,27.136,,,,,
104,10/08/16 11:45:00 AM,27.235,,,,,
105,10/08/16 12:00:00 PM,27.259,,,,,
106,10/08/16 12:15:00 PM,27.333,,,,,
107,10/08/16 12:30:00 PM,27.333,,,,,
108,10/08/16 12:45:00 PM,27.308,,,,,
109,10/08/16 01:00:00 PM,27.259,,,,,
110,10/08/16 01:15:00 PM,27.284,,,,,
111,10/08/16 01:30:00 PM,27.382,,,,,
112,10/08/16 01:45:00 PM,27.407,,,,,
113,10/08/16 02:00:00 PM,27.333,,,,,
114,10/08/16 02:15:00 PM,27.382,,,,,
115,10/08/16 02:30:00 PM,27.481,,,,,
116,10/08/16 02:45:00 PM,27.530,,,,,
117,10/08/16 03:00:00 PM,27.604,,,,,
118,10/08/16 03:15:00 PM,27.653,,,,,
119,10/08/16 03:30:00 PM,27.628,,,,,
120,10/08/16 03:45:00 PM,27.653,,,,,
121,10/08/16 04:00:00 PM,27.653,,,,,
122,10/08/16 04:15:00 PM,27.628,,,,,
