Date,Season,Reef,Location,Reef.type,Bay.region,Time.of.collection,Depth..m,Sample.ID,total.blastate.ml,surface.area.cm2,cells.ml,ug.chl.a.ml,ug.chl.c2.ml,mg.biomass.ml,host..mass.mg,host..ugN,host..d15N,host..ugC,host..d13C,host..C:N,symb..mass.mg,symb..ugN,symb..d15N,symb..ugC,symb..d13C,symb..C:N,d15N..host.sym,d13C..host.sym,d13C..skel,d18O..skel
7/11/16,summer,F1-R46,NW,fringe,northern,8:22:00,2.4384,1,25,14.978151,1170000,4.406,1.054,15.29,0.7915,48.4,4.7,332.7,-14.6,6.873966942,0.9751,55.5,4.5,416,-15.5,7.495495495,0.2,0.9,-0.4,-3.68
7/11/16,summer,F1-R46,NW,fringe,northern,8:23:00,4.8768,2,20,8.5616465,1220000,4.478,0.863,14.19,1.024,77.2,4.8,526,-15.4,6.813471503,0.7672,54.4,4.4,415.5,-15.9,7.637867647,0.4,0.5,-1.8,-3.74
7/11/16,summer,F1-R46,NW,fringe,northern,8:24:00,4.2672,3,17.5,5.6253445,817500,3.502,0.624,11.09,0.8362,60.5,4.4,435,-14.9,7.190082645,1.0143,66.3,3.7,520.8,-15.1,7.85520362,0.7,0.2,-3.49,-4.43
7/11/16,summer,F1-R46,NW,fringe,northern,8:24:00,2.7432,4,15,5.127086,628750,2.181,0.591,12.59,0.646,49.1,5,340.9,-14.3,6.942973523,0.7083,48.9,4.9,378,-14.4,7.73006135,0.1,0.1,-2.31,-4.52
7/11/16,summer,F1-R46,NW,fringe,northern,8:26:00,3.6576,5,15,6.5762195,705000,3.585,0.864,12.99,0.7442,57.4,5,404.5,-14.3,7.047038328,0.9795,71,4.5,544.7,-14.8,7.671830986,0.5,0.5,-1.75,-4.43
7/11/16,summer,F1-R46,NW,fringe,northern,8:28:00,4.8768,6,12.5,4.9331075,830000,3.107,0.64,12.69,0.7592,55.8,4.7,407.8,-15.7,7.308243728,0.8754,62.1,4.3,484.7,-15.8,7.805152979,0.4,0.1,-0.94,-4.05
7/11/16,summer,F1-R46,NW,fringe,northern,8:29:00,5.1816,7,32.5,10.08875175,606250,2.599,0.597,12.39,0.9382,72,4.7,480.2,-14.5,6.669444444,0.6861,49.3,4.2,364.7,-15,7.397565923,0.5,0.5,-0.81,-3.68
7/11/16,summer,F1-R46,NW,fringe,northern,8:30:00,3.048,8,15,8.215528,1475000,3.892,0.496,12.99,1.165,85.2,4.8,619.5,-16.2,7.271126761,0.8177,49.6,4.3,421.1,-15.7,8.489919355,0.5,-0.5,-3.22,-4.5
7/11/16,summer,F1-R46,NW,fringe,northern,8:34:00,2.4384,9,15,5.7394495,665000,2.496,0.641,11.64,0.871,62.1,5.2,463.7,-14.5,7.466988728,1.0155,62.7,4.7,563,-14.4,8.979266348,0.5,-0.1,-2.39,-4.44
7/11/16,summer,F1-R46,NW,fringe,northern,8:53:00,4.572,10,17.5,7.0250325,741667,3.044,0.66,10.94,0.8419,65.5,5.1,442.1,-14.8,6.749618321,0.7939,59.5,4.5,437.7,-15,7.356302521,0.6,0.2,-3.17,-4.43
7/11/16,summer,F1-R46,NW,fringe,northern,9:00:00,0.9144,11,12.5,3.9213765,761667,2.157,0.65,11.74,0.8914,71.5,5.1,470.4,-15.7,6.579020979,0.8913,63.4,4.7,471.9,-15.4,7.443217666,0.4,-0.3,-2.59,-3.99
7/11/16,summer,F1-R46,NW,fringe,northern,9:01:00,0.6096,12,15,3.32993225,408750,0.781,0.214,9.44,0.4665,36,5.4,231.6,-16.6,6.433333333,0.5668,42.1,5.3,296.4,-17.2,7.040380048,0.1,0.6,-3.96,-4.45
7/11/16,summer,F1-R46,NW,fringe,northern,9:02:00,1.2192,13,27.5,14.8450285,930000,3.46,0.862,10.89,0.8674,64.6,5.2,469.3,-15.3,7.264705882,0.9329,66.5,4.9,534.2,-15.5,8.033082707,0.3,0.2,-3.36,-4.54
7/11/16,summer,F1-R46,NW,fringe,northern,9:07:00,0.6096,14,17.5,3.400297,806667,1.128,0.188,10.14,0.789,63.4,4.7,421.2,-16.7,6.643533123,0.7038,41.1,4.55,322.15,-16.45,7.838199513,0.15,-0.25,-2.54,-4.11
7/11/16,summer,F1-R46,NW,fringe,northern,9:09:00,0.762,15,15,3.75972775,1085000,2.083,0.394,11.19,0.9494,73.8,5.5,484,-16.8,6.558265583,NA,84.6,5,669.2,-16.6,7.910165485,0.5,-0.2,-1.58,-3.41
7/29/16,summer,F8-R10,SW,fringe,southern,8:46:00,3.3528,1,20,6.8272505,997500,3.004,0.773,12.09,0.769,57.5,4.8,402.1,-14,6.993043478,0.9786,69.1,4.6,512.2,-14.1,7.412445731,0.2,0.1,-2.64,-4.11
