* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = C:\Users\gatescorallab\Desktop\Wall_panK\Wall_PanKbay_plate1.eds
* Experiment Run End Time = Not Started
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD	NOAMP
A1																		N	N
A2	HIMB_15	C	UNKNOWN	VIC	NFQ-MGB	28.1651	28.0155	0.2115				false	0.01	false	3	15		N	N
A2	HIMB_15	D	UNKNOWN	FAM	NFQ-MGB	37.4703	37.4703					false	0.01	false	3	15		N	N
A3	HIMB_15	C	UNKNOWN	VIC	NFQ-MGB	27.866	28.0155	0.2115				false	0.01	false	3	15		N	N
A3	HIMB_15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	37.4703					false	0.01	false	3	15		N	N
A4	HIMB_10	C	UNKNOWN	VIC	NFQ-MGB	27.0458	26.5593	0.688				false	0.01	false	3	15		Y	N
A4	HIMB_10	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	15		Y	N
A5	HIMB_10	C	UNKNOWN	VIC	NFQ-MGB	26.0728	26.5593	0.688				false	0.01	false	3	15		Y	N
A5	HIMB_10	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	15		Y	N
A6	HIMB_09	C	UNKNOWN	VIC	NFQ-MGB	32.2875	31.7072	0.8207				false	0.01	false	3	15		Y	N
A6	HIMB_09	D	UNKNOWN	FAM	NFQ-MGB	28.5785	28.0438	0.7562				false	0.01	false	3	15		Y	N
A7	HIMB_09	C	UNKNOWN	VIC	NFQ-MGB	31.1269	31.7072	0.8207				false	0.01	false	3	15		Y	N
A7	HIMB_09	D	UNKNOWN	FAM	NFQ-MGB	27.5091	28.0438	0.7562				false	0.01	false	3	15		Y	N
A8	HIMB_02	C	UNKNOWN	VIC	NFQ-MGB	31.2657	31.0408	0.3181				false	0.01	false	3	15		N	N
A8	HIMB_02	D	UNKNOWN	FAM	NFQ-MGB	27.8655	27.5721	0.4149				false	0.01	false	3	15		N	N
A9	HIMB_02	C	UNKNOWN	VIC	NFQ-MGB	30.8158	31.0408	0.3181				false	0.01	false	3	15		N	N
A9	HIMB_02	D	UNKNOWN	FAM	NFQ-MGB	27.2787	27.5721	0.4149				false	0.01	false	3	15		N	N
A10	HIMB_01	C	UNKNOWN	VIC	NFQ-MGB	32.2335	32.3757	0.2011				false	0.01	false	3	15		Y	N
A10	HIMB_01	D	UNKNOWN	FAM	NFQ-MGB	28.5274	28.881	0.5001				false	0.01	false	3	15		Y	N
A11	HIMB_01	C	UNKNOWN	VIC	NFQ-MGB	32.5179	32.3757	0.2011				false	0.01	false	3	15		Y	N
A11	HIMB_01	D	UNKNOWN	FAM	NFQ-MGB	29.2347	28.881	0.5001				false	0.01	false	3	15		Y	N
A12																		N	N
B1	R42_05	C	UNKNOWN	VIC	NFQ-MGB	29.0161	28.6738	0.4841				false	0.01	false	3	15		N	N
B1	R42_05	D	UNKNOWN	FAM	NFQ-MGB	31.0231	30.7627	0.3684				false	0.01	false	3	15		N	N
B2	R42_05	C	UNKNOWN	VIC	NFQ-MGB	28.3315	28.6738	0.4841				false	0.01	false	3	15		N	N
B2	R42_05	D	UNKNOWN	FAM	NFQ-MGB	30.5022	30.7627	0.3684				false	0.01	false	3	15		N	N
